"iso","indicator","region","region_label","window_mid","survey_year","est_1000","lower_1000","upper_1000"
"DRC","U5MR","bas-uele","Bas-Uele","2022","2023","47.264738853939114","35.84686631629831","62.085223173322056"
"DRC","U5MR","equateur","Equateur","2022","2023","61.01170642618081","37.63276433108371","97.44394946395316"
"DRC","U5MR","haut-lomami","Haut Lomami","2022","2023","121.492184884621","79.23683613268548","181.83145547496738"
"DRC","U5MR","haut-uele","Haut uele","2022","2023","57.104561642621235","33.68888090141967","95.19217996500073"
"DRC","U5MR","haut-katanga","Haut-Katanga","2022","2023","104.28880282660246","78.7542824544948","136.87234076518118"
"DRC","U5MR","ituri","Ituri","2022","2023","95.78183476119595","72.53219768461013","125.4757273912887"
"DRC","U5MR","kasai","Kasaï","2022","2023","98.97699228353541","69.25829684451979","139.5361506362041"
"DRC","U5MR","kasai-central","Kasaï Central","2022","2023","143.65008112602771","120.80105225449365","169.98532913382707"
"DRC","U5MR","kasai-oriental","Kasaï Oriental","2022","2023","112.77468413633773","83.474778091361","150.66829448992266"
"DRC","U5MR","kinshasa","Kinshasa","2022","2023","55.4947516576354","40.55308858656765","75.50836591231341"
"DRC","U5MR","kongo-central","Kongo Central","2022","2023","76.29456013164516","43.42329919546774","130.65061994197515"
"DRC","U5MR","kwango","Kwango","2022","2023","71.24125646703128","48.346569711132624","103.79529803514642"
"DRC","U5MR","kwilu","Kwilu","2022","2023","79.31296887320805","52.19795508574773","118.7485605151748"
"DRC","U5MR","lomami","Lomami","2022","2023","101.52649630403232","71.16741818486754","142.844661528375"
"DRC","U5MR","lualaba","Lualaba","2022","2023","138.90561158832915","81.47808934717351","226.81435217369886"
"DRC","U5MR","mai-ndombe","Mai-Ndombe","2022","2023","62.29876921293476","41.54623207975923","92.4177674322571"
"DRC","U5MR","maniema","Maniema","2022","2023","127.02285840929572","100.24574618127049","159.68313621809176"
"DRC","U5MR","mongala","Mongala","2022","2023","166.56207137898616","115.7681922842372","233.7505997747406"
"DRC","U5MR","nord-ubangi","Nord Ubangi","2022","2023","74.39474075548146","47.63523314116052","114.38121071548899"
"DRC","U5MR","nord-kivu","Nord-Kivu","2022","2023","47.637101900131704","29.558384360623194","75.90834090040542"
"DRC","U5MR","sankuru","Sankuru","2022","2023","136.33964321094015","96.22597696963318","189.6661546950605"
"DRC","U5MR","sud-ubangi","Sud Ubangi","2022","2023","131.33480161314492","108.77741773669781","157.74201189943383"
"DRC","U5MR","sud-kivu","Sud-Kivu","2022","2023","85.82667848426628","63.58683077867956","114.89067337888339"
"DRC","U5MR","tanganika","Tanganika","2022","2023","69.76582032604661","44.54768014654883","107.65131498798517"
"DRC","U5MR","tshopo","Tshopo","2022","2023","65.42980108504659","43.15767646858268","98.0183459409834"
"DRC","U5MR","tshuapa","Tshuapa","2022","2023","141.43806094534017","123.14922235991192","161.94134970497012"
"ETH","U5MR","addis-ababa","Addis Ababa","2022","2025","29.798773019377833","18.842003993265145","46.82292802339037"
"ETH","U5MR","afar","Afar","2022","2025","75.12571046170314","58.40661823024632","96.14203221311028"
"ETH","U5MR","amhara","Amhara","2022","2025","36.209162153602705","22.482063368325548","57.82197265184039"
"ETH","U5MR","benishangul-gumuz","Benishangul-Gumuz","2022","2025","72.22263951210672","52.60068534753047","98.40401205313611"
"ETH","U5MR","dire-dawa","Dire Dawa","2022","2025","52.411887203081434","33.046757496249846","82.16061779341149"
"ETH","U5MR","gambela","Gambela","2022","2025","42.674863551282584","30.72886357035929","58.98232904506621"
"ETH","U5MR","harari","Harari","2022","2025","63.383483559774746","46.41440206776567","85.9969688921735"
"ETH","U5MR","oromia","Oromia","2022","2025","56.8521180821121","41.19093717385303","77.98352295433652"
"ETH","U5MR","snnpr","SNNPR","2022","2025","50.743449554458195","42.68062980510817","60.23358555586312"
"ETH","U5MR","somali","Somali","2022","2025","42.32409605160981","27.75633225521846","64.03410335065979"
"ETH","U5MR","tigray","Tigray","2022","2025","65.13271684306265","49.743429302454146","84.85787844912734"
"NGA","U5MR","abia","Abia","2022","2024","72.83404365188706","42.54365313104636","121.94396846155749"
