country,admin_name,indicator,label,direction,latest_year,prev,se,ci_l,ci_u,prevalence_rank,n_units,rank_band,prov_avg,prov_min,prov_max,gap_worse,pos_worse
DRC,Lomami,anemia_women,"Anemia, women",adverse,2024,34.56479806,2.735362226,29.20358662,39.92600951,7,26,Better half,41.2640839861539,20.01550384,53.86678421,-6.69928592615385,0.429800411121052
DRC,Kasai-Central,anemia_women,"Anemia, women",adverse,2024,37.70505018,4.193569187,29.4858056,45.92429475,8,26,Better half,41.2640839861539,20.01550384,53.86678421,-3.55903380615385,0.52256653652832
DRC,Kasai-Oriental,anemia_women,"Anemia, women",adverse,2024,38.29265923,2.292681622,33.79908582,42.78623264,9,26,Better half,41.2640839861539,20.01550384,53.86678421,-2.97142475615385,0.539925083784948
DRC,Kasai,anemia_women,"Anemia, women",adverse,2024,39.43153683,3.549942895,32.47377661,46.38929705,10,26,Better half,41.2640839861539,20.01550384,53.86678421,-1.83254715615385,0.573568644310632
DRC,Kwango,anemia_women,"Anemia, women",adverse,2024,40.80110987,3.949455078,33.06032016,48.54189958,11,26,Better half,41.2640839861539,20.01550384,53.86678421,-0.462974116153852,0.614027174240086
DRC,Lualaba,anemia_women,"Anemia, women",adverse,2024,41.82974505,3.351623655,35.26068339,48.3988067,12,26,Better half,41.2640839861539,20.01550384,53.86678421,0.56566106384615,0.644414065629625
DRC,Sankuru,anemia_women,"Anemia, women",adverse,2024,43.22528283,4.280811836,34.83504581,51.61551986,13,26,Better half,41.2640839861539,20.01550384,53.86678421,1.96119884384615,0.685639619426897
DRC,Sud-Ubangi,anemia_women,"Anemia, women",adverse,2024,43.47286191,3.217217454,37.16723157,49.77849225,14,26,Worse half,41.2640839861539,20.01550384,53.86678421,2.20877792384615,0.692953348104038
DRC,Mongala,anemia_women,"Anemia, women",adverse,2024,44.25433334,3.496098086,37.402107,51.10655967,15,26,Worse half,41.2640839861539,20.01550384,53.86678421,2.99024935384615,0.716038780071704
DRC,Tanganyika,anemia_women,"Anemia, women",adverse,2024,46.04104555,4.518494162,37.18495972,54.89713137,16,26,Worse half,41.2640839861539,20.01550384,53.86678421,4.77696156384615,0.768820009923896
DRC,Equateur,anemia_women,"Anemia, women",adverse,2024,46.13368683,3.424976813,39.42085563,52.84651803,17,26,Worse half,41.2640839861539,20.01550384,53.86678421,4.86960284384615,0.771556724133445
DRC,Tshopo,anemia_women,"Anemia, women",adverse,2024,46.39290663,2.112516872,42.25244964,50.53336361,18,26,Worse half,41.2640839861539,20.01550384,53.86678421,5.12882264384615,0.779214331088535
DRC,Mai-Ndombe,anemia_women,"Anemia, women",adverse,2024,47.23483535,3.81710123,39.75345442,54.71621629,19,26,Worse half,41.2640839861539,20.01550384,53.86678421,5.97075136384615,0.804085730657402
DRC,Haut-Katanga,anemia_women,"Anemia, women",adverse,2024,47.73422063,1.899344151,44.0115745,51.45686676,20,26,Worse half,41.2640839861539,20.01550384,53.86678421,6.47013664384615,0.818838061279512
DRC,Maniema,anemia_women,"Anemia, women",adverse,2024,50.37001028,3.600214506,43.31371951,57.42630105,21,26,Worst fifth,41.2640839861539,20.01550384,53.86678421,9.10592629384615,0.896701870895881
DRC,Haut-Lomami,anemia_women,"Anemia, women",adverse,2024,50.62036479,3.215311995,44.31846908,56.9222605,22,26,Worst fifth,41.2640839861539,20.01550384,53.86678421,9.35628080384615,0.904097588495439
DRC,Kinshasa,anemia_women,"Anemia, women",adverse,2024,51.37402788,2.413980875,46.64271231,56.10534346,23,26,Worst fifth,41.2640839861539,20.01550384,53.86678421,10.1099438938462,0.926361534844361
DRC,Bas-Uele,anemia_women,"Anemia, women",adverse,2024,52.19790521,3.074446334,46.17210113,58.2237093,24,26,Worst fifth,41.2640839861539,20.01550384,53.86678421,10.9338212238462,0.950699678660338
DRC,Tshuapa,anemia_women,"Anemia, women",adverse,2024,52.73581191,2.544508423,47.74866704,57.72295678,25,26,Worst fifth,41.2640839861539,20.01550384,53.86678421,11.4717279238462,0.966589969784354
DRC,Kongo Central,anemia_women,"Anemia, women",adverse,2024,53.86678421,2.515002463,48.93746996,58.79609846,26,26,Worst fifth,41.2640839861539,20.01550384,53.86678421,12.6027002238461,1
DRC,Nord-Kivu,facility_delivery,Facility delivery,beneficial,2024,98.882948,0.613542,97.680427,100,1,26,Best fifth,76.6750572692308,38.116438,98.882948,-22.2078907307692,0
DRC,Sud-Kivu,facility_delivery,Facility delivery,beneficial,2024,97.41304,1.282618,94.899155,99.926924,2,26,Best fifth,76.6750572692308,38.116438,98.882948,-20.7379827307692,0.0241894425070652
DRC,Kinshasa,facility_delivery,Facility delivery,beneficial,2024,97.397626,1.313879,94.822471,99.972781,3,26,Best fifth,76.6750572692308,38.116438,98.882948,-20.7225687307692,0.0244431019652107
DRC,Ituri,facility_delivery,Facility delivery,beneficial,2024,95.972076,1.380827,93.265706,98.678447,4,26,Best fifth,76.6750572692308,38.116438,98.882948,-19.2970187307692,0.0479025700175968
DRC,Kongo Central,facility_delivery,Facility delivery,beneficial,2024,94.630055,1.674866,91.347378,97.912731,5,26,Best fifth,76.6750572692308,38.116438,98.882948,-17.9549977307692,0.0699874486785567
DRC,Kwilu,facility_delivery,Facility delivery,beneficial,2024,92.432617,2.145823,88.226881,96.638352,6,26,Best fifth,76.6750572692308,38.116438,98.882948,-15.7575597307692,0.106149439880619
DRC,Mai-Ndombe,facility_delivery,Facility delivery,beneficial,2024,92.18783,4.251952,83.854157,100,7,26,Better half,76.6750572692308,38.116438,98.882948,-15.5127727307692,0.110177760743541
DRC,Haut-Katanga,facility_delivery,Facility delivery,beneficial,2024,91.594271,2.46199,86.76886,96.419682,8,26,Better half,76.6750572692308,38.116438,98.882948,-14.9192137307692,0.119945624654106
DRC,Kasai-Central,facility_delivery,Facility delivery,beneficial,2024,91.305537,2.625825,86.159014,96.45206,9,26,Better half,76.6750572692308,38.116438,98.882948,-14.6304797307692,0.124697156377748
DRC,Lualaba,facility_delivery,Facility delivery,beneficial,2024,90.362809,4.087376,82.3517,98.373918,10,26,Better half,76.6750572692308,38.116438,98.882948,-13.6877517307692,0.140211096539854
DRC,Kasai-Oriental,facility_delivery,Facility delivery,beneficial,2024,87.456933,6.942519,73.849846,100,11,26,Better half,76.6750572692308,38.116438,98.882948,-10.7818757307692,0.18803145021822
DRC,Kasai,facility_delivery,Facility delivery,beneficial,2024,84.275093,4.035075,76.366491,92.183695,12,26,Better half,76.6750572692308,38.116438,98.882948,-7.60003573076924,0.240393186970915
DRC,Kwango,facility_delivery,Facility delivery,beneficial,2024,76.791197,5.353661,66.298214,87.28418,13,26,Better half,76.6750572692308,38.116438,98.882948,-0.116139730769234,0.363551420017375
DRC,Lomami,facility_delivery,Facility delivery,beneficial,2024,75.645139,5.805937,64.265712,87.024566,14,26,Worse half,76.6750572692308,38.116438,98.882948,1.02991826923076,0.382411446699835
DRC,Haut-Uele,facility_delivery,Facility delivery,beneficial,2024,73.0025,7.610487,58.08622,87.91878,15,26,Worse half,76.6750572692308,38.116438,98.882948,3.67255726923077,0.425899858326568
DRC,Tshopo,facility_delivery,Facility delivery,beneficial,2024,72.553502,6.555673,59.70462,85.402384,16,26,Worse half,76.6750572692308,38.116438,98.882948,4.12155526923077,0.433288763827312
