country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Mongala,mongala,15.4944302,15.4944302,11.59150243,19.39735797,474,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Nord-Kivu,nord kivu,28.92076222,28.92076222,22.58038649,35.26113794,513,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Nord-Kivu,nord kivu,33.92203562,33.92203562,25.85160099,41.99247025,507,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Nord-Ubangi,nord ubangi,19.18969349,19.18969349,13.21247622,25.16691075,282,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Nord-Ubangi,nord ubangi,24.14130661,24.14130661,19.49663705,28.78597617,463,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Sankuru,sankuru,23.5119976,23.5119976,16.72810932,30.29588588,314,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Sankuru,sankuru,21.95943905,21.95943905,16.55094391,27.3679342,415,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Sud-Kivu,sud kivu,34.33563111,34.33563111,25.27405809,43.39720413,507,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Sud-Kivu,sud kivu,24.05102691,24.05102691,17.57325656,30.52879725,631,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Sud-Ubangi,sud ubangi,20.77985681,20.77985681,14.09696904,27.46274458,319,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Sud-Ubangi,sud ubangi,28.37660065,28.37660065,24.67519093,32.07801037,569,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Tanganyika,tanganyika,26.2635888,26.2635888,20.23608459,32.29109301,310,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Tanganyika,tanganyika,24.69984055,24.69984055,20.78208136,28.61759974,441,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Tshopo,tshopo,26.71571253,26.71571253,17.457707,35.97371805,272,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Tshopo,tshopo,24.36485002,24.36485002,17.65094057,31.07875946,423,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_stunting,ADM1,Tshuapa,tshuapa,26.43317702,26.43317702,20.94090809,31.92544596,227,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,severe_stunting,ADM1,Tshuapa,tshuapa,20.8815509,20.8815509,14.28198425,27.48111756,405,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,severe_wasting,ADM1,Bas-Uele,bas uele,2.159583599,2.159583599,-0.183065362,4.502232561,220,1,2013 DHS
