"method_code","method_alpha","method_group","weighted_episodes","unweighted_episodes"
3,"3","Injectables",6262.577696,4884
11,"N","Implants",2566.74974,2555
1,"1","Pill",943.74873,850
8,"8","Other",196.212475,178
16,"E","Emergency contraception",195.643219,168
2,"2","Other",174.179704,170
13,"L","Other",97.781462,183
5,"5","Other",62.457702,75
9,"9","Other",41.452726,40
18,"S","Other",16.523125,16
6,"6","Other",13.083474,13
7,"7","Other",7.011432,2
10,"W","Other",0.216892,1
