"Method","Initiations after non-use (unweighted)","Initiations after non-use (weighted)","Eligible non-use woman-months (unweighted)","Eligible non-use woman-months (weighted)","Initiations per 1,000 weighted non-use woman-months"
"Injectables",3361,4465.91715100001,962932,944809.054274087,4.72679334601767
"Implants",1489,1542.646802,962932,944809.054274087,1.63276039218871
"Pill",520,574.208159999999,962932,944809.054274087,0.607750483976017
"Emergency contraception",147,179.054159,962932,944809.054274087,0.189513593450446
"Other",323,318.07692,962932,944809.054274087,0.336657357972065
"All methods",5840,7079.90319200001,962932,944809.054274087,7.49347517360491
