"Discontinued method","Injectables","Implants","Pill","Emergency contraception","Other modern","Traditional method","Pregnancy before reinitiation","No observed event","Month"
"Injectables",0,10.8378686864993,8.04954452366703,0.299616726369528,0.809563654749365,0.833264741197442,4.84234826247837,74.327793405039,1
"Injectables",9.68150582034292,12.8123143200385,9.48971520247188,0.404429391621636,1.03588526251147,1.15881757945922,7.10114020281114,58.3161922207432,3
"Injectables",13.4193464275042,13.3636092872607,10.5112765683744,0.440161323828553,1.03588526251147,1.15881757945922,9.80497438908183,50.2659291619796,6
"Injectables",15.7561731917068,13.6040331775824,10.9913845096491,0.440161323828553,1.03588526251147,1.15881757945922,12.1636879095662,44.8498570456963,9
"Injectables",20.3980440218381,14.1196484681576,11.3146018343916,0.440161323828553,1.10906155555717,1.15881757945922,15.474355346397,35.9853098703707,12
"Implants",20.3362959647902,0,4.47600683060357,0.0498969660354593,0.447166254420744,1.83147928072797,3.19730824466638,69.6618464587557,1
"Implants",27.1116112764687,5.35104293895803,5.08714089629031,0.0498969660354593,1.05361202574366,1.8405597929319,8.28690296460242,51.2192331389696,3
"Implants",30.0897775270712,8.92760928048221,5.08714089629031,0.572687546028617,1.05361202574366,1.8405597929319,12.083568200813,40.345044730639,6
"Implants",32.4195678542441,10.0061219697513,5.17987582816475,0.572687546028617,1.18854942229003,1.8405597929319,14.194152325785,34.5984852608043,9
"Implants",33.370187841333,10.1893148194688,5.2496593940392,0.572687546028617,1.18854942229003,1.8405597929319,17.5820066239268,30.0070345599817,12
"Pill",16.1262284912656,8.53868447549685,0,0.38023445214333,4.7160706298317,0.574961946844575,1.97685147288725,67.6869685315307,1
"Pill",17.6046966029512,10.8859996827254,6.95474580872946,1.39053487833249,4.99917159451647,0.574961946844575,2.2947062384172,55.2951832474833,3
"Pill",22.7252542317061,11.9770662994912,12.4775800839658,1.74291634638951,5.0684013164092,0.574961946844575,3.22397225568535,42.2098475195083,6
"Pill",22.9155145593719,12.1374670613896,12.5199193081208,3.16552299820596,5.0684013164092,0.574961946844575,5.12175145663084,38.4964613530271,9
"Pill",22.9654679630804,12.4159762193174,13.5663082546319,3.16552299820596,5.11640893323135,0.574961946844575,8.42923525167051,33.766118433018,12
"Emergency contraception",5.07942212031355,0,1.8578384664289,0,0.106499741020698,0.379281196234199,2.89172170236157,89.6852367736411,1
"Emergency contraception",6.00233962942495,0.492487439055879,1.8578384664289,4.09848851480448,0.106499741020698,0.379281196234199,4.61722541802756,82.4458395950033,3
"Emergency contraception",6.00233962942495,0.766698349754788,4.60169573726139,13.1599407314833,0.106499741020698,0.857721099366883,4.61722541802756,69.8878792936604,6
"Emergency contraception",6.00233962942495,0.836711412281897,4.60169573726139,18.1230413428692,1.24196250129197,1.16598019069137,4.61722541802756,63.4110437681516,9
"Emergency contraception",6.00233962942495,0.836711412281897,8.49889536392578,21.3199244768778,1.24196250129197,1.16598019069137,4.61722541802756,56.3169610074786,12
"Other",25.717631894661,7.61875010356248,3.54474581149786,0.429363278198768,0.874581641102213,3.03716487068226,3.24297807300397,55.5347843272914,1
"Other",29.9476326663972,8.47679931137499,3.54474581149786,0.429363278198768,3.25179910730584,5.30911068012422,4.57938742752422,44.4611617175769,3
"Other",30.0389249199487,9.31356565670806,6.60065546483326,0.429363278198768,4.19092669234315,5.37857310159123,7.44603182461995,36.6019590617569,6
"Other",30.0749414262712,9.31356565670806,6.60065546483326,1.5932513709136,6.27888411842665,5.89288684176271,12.82198677049,27.4238283505945,9
"Other",30.1181358565259,9.31356565670806,6.6678664394115,1.81955495383813,6.77179894430419,5.89288684176271,14.3019514222705,25.114239885179,12
"All methods",7.48815576634939,7.86560101747461,5.79726368719328,0.257313646749654,1.23692620750293,1.07728835378215,3.9831018167753,72.2943495041727,1
"All methods",14.85576778272,10.3912734225599,7.68240456442997,0.638629253295924,1.64239513833701,1.38662416069416,6.43507059292922,56.9678350850338,3
"All methods",18.290466106659,11.5855906828546,9.28397884540243,1.22336738767614,1.69446702970272,1.41178015600814,8.99133374213954,47.5190160495574,6
"All methods",20.1150423964747,11.9541873349618,9.58685163881124,1.69887030580157,1.8689701624616,1.44990509063807,11.2647031239217,42.0614699469294,9
"All methods",23.0339360561921,12.3265553784248,10.1123526338844,1.86679244274734,1.94083489749404,1.44990509063807,14.338878001895,34.9307454987243,12
