"Method","2019","2020","2021","2022","2023","2024"
"Injectables",58.1851041032949,63.9788148039864,59.5939403551415,55.8381978769606,56.64412341949,59.1332239711798
"Implants",25.4476645008137,21.7263172566171,24.9447688261839,26.5108831890674,24.028308643858,20.0014487965865
"Pill",6.8999141817401,6.83871325712108,8.5293327767807,10.1945107491111,11.2947485273122,11.2271594370654
"Emergency contraception",0.610025079203765,1.63083890162523,2.15848947113467,2.28212769798814,1.5472316083832,3.23892570509593
"Other",8.85729213494748,5.82531578065023,4.77346857075916,5.17428048687282,6.48558780095666,6.3992420900724
