"Discontinued modern method","Continued modern protection","Temporary non-use then modern reinitiation","Prolonged gap then modern reinitiation","Traditional-method use","Pregnancy first","No reinitiation or pregnancy observed by 12 months","Month","Weighted eligible episodes","Unweighted eligible episodes"
"Injectables",19.9965935912852,13.4272564057012,13.9576672067867,1.15881757945922,15.474355346397,35.9853098703707,12,1892.685388,1589
"Implants",25.30936601585,13.3439380876462,11.9170949196635,1.8405597929319,17.5820066239268,30.0070345599817,12,600.858176,623
"Pill",29.7612180487375,12.0739305185175,15.394535801212,0.574961946844575,8.42923525167052,33.766118433018,12,433.857582,395
"Emergency contraception",7.04376032776314,5.51389346297176,25.3421795930675,1.16598019069137,4.61722541802756,56.3169610074786,12,146.216318,113
"Other modern",37.5963552558789,10.0658244258869,11.1697784477604,1.81202763466657,19.2715386229824,20.0844756128248,12,113.824616,167
"All modern methods",22.361514879668,12.744298211687,14.219429439228,1.2324909187213,14.5369075106364,34.9053590400593,12,3187.44208,2887
