"Method","Single-decrement 12 months","Sum of competing-risk CIFs at 12 months","Absolute difference"
"Injectables",43.3494433932413,43.3494433932413,2.1316282072803e-14
"Implants",15.3512228693693,15.3512228693693,3.5527136788005e-15
"Pill",64.9731527487035,64.9731527487035,0
"Emergency contraception",86.8448868054963,86.8448868054963,1.4210854715202e-14
"Other",30.5106708218975,30.5106708218976,2.8421709430404e-14
"All methods",38.6454076759384,38.6454076759384,7.105427357601e-15
