"Cohort","Method","Month","Switched to different method (%)","Restarted same method (%)","Any-method reinitiation (%)","Pregnancy before reinitiation (%)","No observed event (%)","Weighted eligible episodes","Unweighted eligible episodes"
"Observed-start leaky-bucket cohort","Emergency contraception",1,7.59021394054515,0,7.59021394054515,2.95684542602723,89.4529406334276,142.995943,107
"Observed-start leaky-bucket cohort","Emergency contraception",3,9.0374948609556,4.19078952470701,13.2282843856626,4.72120876883899,82.0505068454984,142.995943,107
"Observed-start leaky-bucket cohort","Emergency contraception",6,12.6143721664206,13.4608501923125,26.0752223587331,4.72120876883899,69.2035688724279,142.995943,107
"Observed-start leaky-bucket cohort","Emergency contraception",9,14.1656541066441,18.5477939921674,32.7134480988116,4.72120876883899,62.5653431323494,142.995943,107
"Observed-start leaky-bucket cohort","Emergency contraception",12,18.1635353158827,21.8286031429816,39.9921384588643,4.72120876883899,55.2866527722967,142.995943,107
"Observed-start leaky-bucket cohort","Other",1,42.378811303283,0,42.378811303283,2.474452858637,55.14673583808,153.96341,195
"Observed-start leaky-bucket cohort","Other",3,48.2500770800023,4.73550696233605,52.9855840423384,3.93020718364188,43.0842087740197,153.96341,195
"Observed-start leaky-bucket cohort","Other",6,52.8918014698828,5.6811530516681,58.5729545215509,6.95890112301717,34.468144355432,153.96341,195
"Observed-start leaky-bucket cohort","Other",9,54.3295984593853,8.54859792236233,62.8781963817476,12.9750216507147,24.1467819675377,153.96341,195
"Observed-start leaky-bucket cohort","Other",12,54.7153679697375,9.11188849899161,63.8272564687292,14.677308966665,21.4954345646059,153.96341,195
"Observed-start leaky-bucket cohort","All methods",1,24.279637960461,0,24.279637960461,3.19354214315439,72.5268198963847,2818.442656,2526
"Observed-start leaky-bucket cohort","All methods",3,29.1908371897704,8.46293088462255,37.6537680743929,5.60449639320247,56.7417355324046,2818.442656,2526
"Observed-start leaky-bucket cohort","All methods",6,32.305892224196,12.6433018136862,44.9491940378822,8.08798103307339,46.9628249290444,2818.442656,2526
"Observed-start leaky-bucket cohort","All methods",9,33.7391845488583,14.5093778745311,48.2485624233894,10.4476737071543,41.3037638694563,2818.442656,2526
"Observed-start leaky-bucket cohort","All methods",12,34.5960730548673,17.9028155510169,52.4988886058842,13.4897129271813,34.0113984669345,2818.442656,2526
