"Method","Reason","3 months","6 months","9 months","12 months"
"Injectables","Method failure",2.25114748400744,1.91675411147927,1.55993221939302,1.61618773528937
"Injectables","Desire to become pregnant",36.5549954900634,39.663131081255,41.7536114449149,41.8473558400146
"Injectables","Other fertility-related reasons",12.7226383637663,10.6584615932305,10.2981828161046,9.62540033692133
"Injectables","Changes in menstrual bleeding",8.90013917279186,8.39741665199178,7.90299123282533,7.93081519035398
"Injectables","Other side effects/health concerns",9.5481656684384,9.3006293884806,8.87994323043558,8.49556713790314
"Injectables","Wanted more effective method",12.4225227855622,12.0139287058122,11.7189474589788,12.8655828002209
"Injectables","Other method-related reasons",9.68627766721802,10.4898114546384,11.3311001204067,11.3706384985547
"Injectables","Husband/partner disapproved",2.29341522271691,1.5346131981984,1.13882562050282,1.28700215045754
"Injectables","Other reasons",5.62069814543537,6.02525381491372,5.41646585643819,4.96145031028437
"Injectables","All discontinuation reasons",100,100,100,100
"Implants","Method failure",0,0,0,1.30294534621291
"Implants","Desire to become pregnant",54.3885021711392,40.0984069075462,41.4155447704214,36.5533154430204
"Implants","Other fertility-related reasons",1.14501164015901,2.96065896858146,4.03238549534209,4.14650626079757
"Implants","Changes in menstrual bleeding",0.190312009315237,1.72468735805462,1.99243251930834,4.49146952853045
"Implants","Other side effects/health concerns",9.87523627173739,13.7973742636083,13.6224970842723,14.9616703624261
"Implants","Wanted more effective method",3.9879842179042,18.5580011704709,18.6338784607814,18.5437159994842
"Implants","Other method-related reasons",14.99076733983,12.6358471886313,12.0209655277616,14.3044034123206
"Implants","Husband/partner disapproved",0.302969453097808,0.595191488766775,0.45909888416625,0.295179046780705
"Implants","Other reasons",15.1192168968173,9.62983265434035,7.82319725794654,5.4007946004269
"Implants","All discontinuation reasons",100,100,100,100
"Pill","Method failure",4.22993994227421,3.34425370698448,3.68200187127237,3.29384029242162
"Pill","Desire to become pregnant",16.1678112799843,21.8260391672604,22.7952354684471,27.5161208906439
"Pill","Other fertility-related reasons",31.0288939940419,29.6589541715308,27.1746883178049,24.7847379498874
"Pill","Changes in menstrual bleeding",3.87559175324004,4.452702189391,4.12284421240442,3.78054834338958
"Pill","Other side effects/health concerns",2.70101604087982,2.15789859923403,3.02539675483319,3.23623558364412
"Pill","Wanted more effective method",25.3847096328666,22.5616819358025,23.0311726287799,22.1081572420586
"Pill","Other method-related reasons",9.22877302086936,9.72992340888426,10.3111644006493,9.98230610339601
"Pill","Husband/partner disapproved",6.06157083087457,4.37645635022195,3.93588140532717,3.36089336222645
"Pill","Other reasons",1.32169350496932,1.89209047069053,1.92161494048173,1.9371602323322
"Pill","All discontinuation reasons",100,100,100,100
"Other","Method failure",5.85498334985077,6.37064026085035,6.36660564789491,5.23823934338865
"Other","Desire to become pregnant",22.4479648330736,20.2757768350541,20.378152880617,28.9142190583051
"Other","Other fertility-related reasons",38.2687153437433,26.3383911518589,23.2990366924659,18.351656257015
"Other","Changes in menstrual bleeding",0,6.03317999481324,9.18533415186931,11.2798408702826
"Other","Other side effects/health concerns",7.18245065884382,5.95597288442103,5.28936424908633,3.87128453229757
"Other","Wanted more effective method",13.2728289740316,21.7880206554937,21.5712407403398,21.3441007450456
"Other","Other method-related reasons",5.03283956415897,3.82835143406341,5.62018160506838,4.75013065757278
"Other","Husband/partner disapproved",0,0,0,0
"Other","Other reasons",7.94021727629791,9.40966678344506,8.29008403265862,6.25052853609261
"Other","All discontinuation reasons",100,100,100,100
"Emergency contraception","Method failure",0,0,0,1.0996125647914
"Emergency contraception","Desire to become pregnant",6.95013386204021,7.50521465797686,7.25477285106042,6.75705671381921
"Emergency contraception","Other fertility-related reasons",66.750673108573,66.6174581934339,64.3944975770561,59.5554414261755
"Emergency contraception","Changes in menstrual bleeding",4.47753613677848,4.71254869105018,5.49609003641817,5.99400752021713
"Emergency contraception","Other side effects/health concerns",8.50750005073508,7.87374544724655,9.26402695038785,8.49031952334376
"Emergency contraception","Wanted more effective method",8.45549080157541,7.82561055611008,7.63900961808833,7.10262789883883
"Emergency contraception","Other method-related reasons",4.4194199883107,4.51310523011319,5.0310636543086,4.88939238358458
"Emergency contraception","Husband/partner disapproved",0,0,0,0
"Emergency contraception","Other reasons",0.439246051987077,0.95231722406913,0.920539312680541,6.11154196922954
"Emergency contraception","All discontinuation reasons",100,100,100,100
