"Method","Reason","3 months","6 months","9 months","12 months"
"Injectables","Method failure",0.358283822544786,0.477015281661538,0.525919909461376,0.700608387437774
"Injectables","Desire to become pregnant",5.81795000564435,9.87081208329939,14.0769292907736,18.1405958314354
"Injectables","Other fertility-related reasons",2.02488532546545,2.65253066552689,3.47195814467493,4.17255747042657
"Injectables","Changes in menstrual bleeding",1.41651131552335,2.08983303882819,2.66443655818507,3.43796424156508
"Injectables","Other side effects/health concerns",1.5196486761894,2.31461214602624,2.99380888586942,3.68278106738013
"Injectables","Wanted more effective method",1.97712010469334,2.98986059356453,3.95095870832573,5.57715853319236
"Injectables","Other method-related reasons",1.54163004134366,2.61055934908053,3.82019877231645,4.92910849938108
"Injectables","Husband/partner disapproved",0.365010990401508,0.381913330768948,0.38394685344738,0.557908268682389
"Injectables","Other reasons",0.894568317368548,1.4994819254021,1.82612244135006,2.15076109374052
"Injectables","Any reason",15.9156085991744,24.8866184141584,33.714279564404,43.3494433932413
"Implants","Method failure",0,0,0,0.200018043963219
"Implants","Desire to become pregnant",2.4123922254464,3.05280390980411,4.08776239324116,5.61138091980165
"Implants","Other fertility-related reasons",0.0507867852303347,0.22540325095013,0.398001133977184,0.636539417387387
"Implants","Changes in menstrual bleeding",0.00844125492252997,0.131305274097261,0.196655404840073,0.68949549743452
"Implants","Other side effects/health concerns",0.438014327576519,1.05043270656838,1.34455629140718,2.2967993623164
"Implants","Wanted more effective method",0.176886322263534,1.41287255281708,1.83918545643783,2.84668717134372
"Implants","Other method-related reasons",0.664912787454396,0.962002400496399,1.18648326581779,2.19590084795901
"Implants","Husband/partner disapproved",0.0134381555664303,0.0453135933349859,0.0453135933349859,0.0453135933349859
"Implants","Other reasons",0.67061014443737,0.73314610342779,0.772158659827183,0.829088015828396
"Implants","Any reason",4.43548200289751,7.61327979149614,9.87011619888339,15.3512228693693
"Pill","Method failure",1.52383410995837,1.66865014202316,2.04282269862726,2.14011188449344
"Pill","Desire to become pregnant",5.82444730847969,10.8903290680934,12.6470941796141,17.878091256796
"Pill","Other fertility-related reasons",11.1781461930124,14.7986434124966,15.0768717845734,16.1034256465462
"Pill","Changes in menstrual bleeding",1.39618032181453,2.22172203179339,2.28740778371559,2.45634144988909
"Pill","Other side effects/health concerns",0.973039908558249,1.07670593189841,1.67852960948952,2.10268428906899
"Pill","Wanted more effective method",9.14483111766209,11.2573856725736,12.777995195808,14.3643667748063
"Pill","Other method-related reasons",3.32466165340005,4.85484640241278,5.72076859907862,6.48581899240264
"Pill","Husband/partner disapproved",2.18367837796043,2.18367837796043,2.18367837796043,2.18367837796043
"Pill","Other reasons",0.476139537030836,0.944078203769209,1.06613705144067,1.25863407674034
"Pill","Any reason",36.0249585278766,49.896039243021,55.4813052803076,64.9731527487035
"Other","Method failure",0.705773211040834,1.2187914250951,1.42171099916203,1.59822196292444
"Other","Desire to become pregnant",2.70592950908629,3.87903600452355,4.55059504157572,8.82192219760185
"Other","Other fertility-related reasons",4.61299930276484,5.03889781439353,5.20285039902086,5.59921343094403
"Other","Changes in menstrual bleeding",0,1.15423061774833,2.05115430684938,3.44155511716579
"Other","Other side effects/health concerns",0.86578918533795,1.13945983172849,1.18115488022835,1.18115488022835
"Other","Wanted more effective method",1.59993744898299,4.1683491230701,4.81702054787286,6.51222831821506
"Other","Other method-related reasons",0.606670100938948,0.732416477627981,1.25502888778038,1.44929672854207
"Other","Husband/partner disapproved",0,0,0,0
"Other","Other reasons",0.957132122945749,1.80019915096167,1.85123821154296,1.90707818627599
"Other","Any reason",12.0542308810976,19.1313804451488,22.3307532740325,30.5106708218976
"Emergency contraception","Method failure",0,0,0,0.954957287192107
"Emergency contraception","Desire to become pregnant",4.94882114838365,5.77420631628683,5.77420631628683,5.86815825449948
"Emergency contraception","Other fertility-related reasons",47.5296086817498,51.2527576365406,51.2527576365406,51.7208556930758
"Emergency contraception","Changes in menstrual bleeding",3.18821564680435,3.62564292398352,4.3744385185717,5.2054890460455
"Emergency contraception","Other side effects/health concerns",6.05773888772175,6.05773888772175,7.37340837947284,7.37340837947284
"Emergency contraception","Wanted more effective method",6.02070586400422,6.02070586400422,6.08002738231758,6.16826915896218
"Emergency contraception","Other method-related reasons",3.14683422447366,3.47219925256761,4.0043155212094,4.24618728100059
"Emergency contraception","Husband/partner disapproved",0,0,0,0
"Emergency contraception","Other reasons",0.312763781902118,0.732674064756332,0.732674064756332,5.30756170524779
"Emergency contraception","Any reason",71.2046882350396,76.9359249458609,79.5918278191553,86.8448868054963
