"Method","Reason","12-month cause-specific cumulative incidence (%)","Accumulated by month 3 (%)","Accumulated by month 6 (%)","Accumulated by month 9 (%)"
"Injectables","Method failure",0.700608387437774,51.1389570791582,68.0858651158961,75.0661737557469
"Injectables","Desire to become pregnant",18.1405958314354,32.0714383348013,54.4128328254494,77.5990459275874
"Injectables","Other fertility-related reasons",4.17255747042657,48.5286383666859,63.5708599420612,83.2093546771444
"Injectables","Changes in menstrual bleeding",3.43796424156508,41.2020374847909,60.7869335452083,77.5004150994929
"Injectables","Other side effects/health concerns",3.68278106738013,41.263617043368,62.849572203129,81.2920678990881
"Injectables","Wanted more effective method",5.57715853319236,35.4503120706816,53.6090300422774,70.8417859168188
"Injectables","Other method-related reasons",4.92910849938108,31.2760419361276,52.9620995238454,77.5028338856028
"Injectables","Husband/partner disapproved",0.557908268682389,65.4249113861593,68.4545026857035,68.8189931929395
"Injectables","Other reasons",2.15076109374052,41.5931048767835,69.7186651630501,84.905871073488
"Implants","Method failure",0.200018043963219,0,0,0
"Implants","Desire to become pregnant",5.61138091980165,42.9910615572979,54.4037903224724,72.8477081072167
"Implants","Other fertility-related reasons",0.636539417387387,7.97857663532983,35.4107294525883,62.5257640148571
"Implants","Changes in menstrual bleeding",0.68949549743452,1.22426541637157,19.0436739015443,28.5216372799807
"Implants","Other side effects/health concerns",2.2967993623164,19.0706395501071,45.7346307127577,58.5404329811007
"Implants","Wanted more effective method",2.84668717134372,6.21376047372421,49.6321677717106,64.6079230254753
"Implants","Other method-related reasons",2.19590084795901,30.2797272505452,43.8090090174399,54.0317322123435
"Implants","Husband/partner disapproved",0.0453135933349859,29.6559036205476,100,100
"Implants","Other reasons",0.829088015828396,80.8852777551392,88.4280184288101,93.1334966958447
"Pill","Method failure",2.14011188449344,71.2034787059304,77.970229225568,95.4540140367842
"Pill","Desire to become pregnant",17.878091256796,32.5786865321299,60.9143834857296,70.7407407085843
"Pill","Other fertility-related reasons",16.1034256465462,69.4147098782661,91.8974865181591,93.6252454322166
"Pill","Changes in menstrual bleeding",2.45634144988909,56.8398307115475,90.4484200229454,93.1225495469647
"Pill","Other side effects/health concerns",2.10268428906899,46.2760821306694,51.2062575202453,79.8279427023598
"Pill","Wanted more effective method",14.3643667748063,63.6633083868424,78.3702188133898,88.9562024983885
"Pill","Other method-related reasons",6.48581899240264,51.2604754664675,74.8532515030045,88.2042592582342
"Pill","Husband/partner disapproved",2.18367837796043,100,100,100
"Pill","Other reasons",1.25863407674034,37.8298622157093,75.0081553658725,84.7058784711908
"Emergency contraception","Method failure",0.954957287192107,0,0,0
"Emergency contraception","Desire to become pregnant",5.86815825449948,84.3334643299554,98.3989535704731,98.3989535704731
"Emergency contraception","Other fertility-related reasons",51.7208556930758,91.8964082183832,99.0949529928255,99.0949529928255
"Emergency contraception","Changes in menstrual bleeding",5.2054890460455,61.2471877013433,69.6503804332821,84.0351113963993
"Emergency contraception","Other side effects/health concerns",7.37340837947284,82.1565628263064,82.1565628263064,100
"Emergency contraception","Wanted more effective method",6.16826915896218,97.6077033742349,97.6077033742349,98.5694240252731
"Emergency contraception","Other method-related reasons",4.24618728100059,74.1096427506637,81.7721645981994,94.3037896403336
"Emergency contraception","Husband/partner disapproved",0,NA,NA,NA
"Emergency contraception","Other reasons",5.30756170524779,5.89279596302905,13.8043437918378,13.8043437918378
"Other","Method failure",1.59822196292444,44.1598994015451,76.2592088814087,88.9557916323819
"Other","Desire to become pregnant",8.82192219760185,30.67278818013,43.9704173040432,51.5828063277724
"Other","Other fertility-related reasons",5.59921343094403,82.3865594633547,89.9929584135173,92.921094421358
"Other","Changes in menstrual bleeding",3.44155511716579,0,33.5380541195247,59.5996355432063
"Other","Other side effects/health concerns",1.18115488022835,73.3002250450483,96.4699761904384,100
"Other","Wanted more effective method",6.51222831821506,24.5682026305478,64.0080310361815,73.9688523266205
"Other","Other method-related reasons",1.44929672854207,41.85961984122,50.5359919196645,86.5957166026921
"Other","Husband/partner disapproved",0,NA,NA,NA
"Other","Other reasons",1.90707818627599,50.1884049554763,94.3956657842628,97.0719619607167
"All methods","Method failure",0.764002473375237,51.8061233762495,66.6947866404626,76.0786160056676
"All methods","Desire to become pregnant",14.271846863852,33.6315538046785,55.1824129505604,75.7851817018959
"All methods","Other fertility-related reasons",5.46193304223517,63.949685687613,79.0065078634169,89.2955426979497
"All methods","Changes in menstrual bleeding",2.71182535573802,37.9683677849278,59.1074951483341,74.7885869168029
"All methods","Other side effects/health concerns",3.13131876460864,40.3847808600178,60.8590534720425,78.3537564217297
"All methods","Wanted more effective method",5.79389968305563,39.2706876216461,60.628880914929,75.1703229163168
"All methods","Other method-related reasons",4.19679541829719,35.1661970931708,55.4623186893146,76.5186848526381
"All methods","Husband/partner disapproved",0.547165957279635,77.5713504679975,80.7966493798681,81.01866138867
"All methods","Other reasons",1.76662011749688,44.9608026579866,71.5834462492068,83.8808251978643
