"Method","Method failure","Desire to become pregnant","Other fertility-related reasons","Changes in menstrual bleeding","Other side effects/health concerns","Wanted more effective method","Other method-related reasons","Husband/partner disapproved","Other reasons","Any reason","Switched to another method","Number of episodes of use","Unweighted episodes entering month 1"
"Injectables",0.700608387437774,18.1405958314354,4.17255747042657,3.43796424156508,3.68278106738013,5.57715853319236,4.92910849938108,0.557908268682389,2.15076109374052,43.3494433932413,5.10927720851996,6262.577696,4272
"Implants",0.200018043963219,5.61138091980165,0.636539417387387,0.68949549743452,2.2967993623164,2.84668717134372,2.19590084795901,0.0453135933349859,0.829088015828396,15.3512228693693,2.79952767266965,2566.74974,2220
"Pill",2.14011188449344,17.878091256796,16.1034256465462,2.45634144988909,2.10268428906899,14.3643667748063,6.48581899240264,2.18367837796043,1.25863407674034,64.9731527487035,16.3135471154799,943.74873,785
"Emergency contraception",0.954957287192107,5.86815825449948,51.7208556930758,5.2054890460455,7.37340837947284,6.16826915896218,4.24618728100059,0,5.30756170524779,86.8448868054963,7.66038234321034,195.643219,160
"Other",1.59822196292444,8.82192219760185,5.59921343094403,3.44155511716579,1.18115488022835,6.51222831821506,1.44929672854207,0,1.90707818627599,30.5106708218976,10.7438803252663,608.918992,623
"All methods",0.764002473375237,14.271846863852,5.46193304223517,2.71182535573802,3.13131876460864,5.79389968305563,4.19679541829719,0.547165957279635,1.76662011749688,38.6454076759384,5.94844149583776,10577.638377,8060
