"Method","3 months - DHS-style population","6 months - DHS-style population","9 months - DHS-style population","12 months - DHS-style population","Weighted episodes - DHS-style population","Unweighted entering month 1 - DHS-style population","3 months - observed-start cohort","6 months - observed-start cohort","9 months - observed-start cohort","12 months - observed-start cohort","Weighted episodes - observed-start cohort","Unweighted entering month 1 - observed-start cohort"
"Injectables",15.9156085991744,24.8866184141584,33.714279564404,43.3494433932413,6262.577696,4272,15.8946002577131,25.0740950140915,33.7927733777315,43.3843887760942,5533.782135,4272
"Implants",4.43548200289751,7.61327979149614,9.87011619888338,15.3512228693693,2566.74974,2220,4.45201869508277,7.33875345245252,9.68419760372026,15.2870048883442,2231.035342,2220
"Pill",36.0249585278766,49.896039243021,55.4813052803076,64.9731527487035,943.74873,785,35.9591037647155,50.0289658540185,55.8372862356032,66.3152175332647,890.504301,785
"Emergency contraception",71.2046882350396,76.9359249458609,79.5918278191553,86.8448868054963,195.643219,160,70.6875205751879,76.6568429242397,78.9189015333521,86.7878292747148,191.767089,160
"Other",12.0542308810976,19.1313804451487,22.3307532740325,30.5106708218975,608.918992,623,12.0597880393367,18.3163113953185,21.5307771196394,29.5892029376367,558.967943,623
"All methods",15.9526331808836,23.7560807631135,30.2478799067269,38.6454076759384,10577.638377,8060,15.9145261957459,23.7376719730185,30.1769546555426,38.6489432396207,9406.05681,8060
