"Interview period","v312 any-method current use (%)","Calendar interview-month any-method use (%)","Calendar minus v312 any-method difference (percentage points)","v312/v313 modern-method current use (%)","Calendar interview-month modern-method use (%)","Calendar minus survey modern-method difference (percentage points)","Women (unweighted)","Women (weighted)"
"2024",22.9102978565233,22.7802462696983,-0.130051586824987,22.1595363154675,22.0421179308113,-0.117418384656286,19315,18670.650311
"2025",26.7464902841346,26.5247894418907,-0.221700842243894,26.6292331962524,26.4075323540085,-0.221700842243887,2080,2724.349596
"All interviews",23.3987825181625,23.2570606993646,-0.141721818797855,22.7286887783953,22.5979915027629,-0.130697275632382,21395,21394.999907
