"Discontinued method","Next month","Months 2-3","Months 4-6","Months 7-9","Months 10-12","Pregnancy before reinitiation","No observed event by 12 months"
"Injectables",20.8298583324827,13.752809243963,5.34642887249291,3.057358595799,5.55387973849477,15.474355346397,35.9853098703707
"Implants",27.1408452965779,13.3530185998501,7.07752317211988,3.63597534486284,1.20359640268082,17.5820066239268,30.0070345599817
"Pill",30.3361799955821,12.0739305185175,12.1560697107068,1.81560696553566,1.42285912496946,8.42923525167052,33.766118433018
"Emergency contraception",7.42304152399734,5.51389346297176,12.557960301343,6.47683552550876,7.09408276067298,4.61722541802756,56.3169610074787
"Other",41.2222375997046,9.73721325519426,4.99255825872429,3.80217576529227,0.829623813635038,14.3019514222705,25.114239885179
"All methods",23.722548679052,12.8745456429849,6.89255588626614,3.18417672084582,4.05654957023183,14.338878001895,34.9307454987243
