"chart_type","country","admin_name","asset_path","mime_type","bytes","width","height","sha256"
"change","Ethiopia","Afar","assets/profile-plots/change/Ethiopia/Ethiopia_Afar_change.png","image/png",176453,3900,2280,"e95eaca3194dbd782828b237b332da75dd048e1d8884e76e4d24b11545aa18df"
"change","Ethiopia","Amhara","assets/profile-plots/change/Ethiopia/Ethiopia_Amhara_change.png","image/png",187301,3900,2280,"9d5eb397c4be7465ab4b07af44ee872177da81a17f313e02620ade3de434032b"
"change","Ethiopia","Benishangul","assets/profile-plots/change/Ethiopia/Ethiopia_Benishangul_change.png","image/png",190372,3900,2280,"acf5b519f154e18186947a3d54e69f1884b680fa1683983bcc22051947352bda"
"change","Ethiopia","Dire Dawa","assets/profile-plots/change/Ethiopia/Ethiopia_DireDawa_change.png","image/png",175887,3900,2280,"523f2003a456c5885c8f671f7bf95411228a276a96990f56255849cc26341b39"
"change","Ethiopia","Gambela","assets/profile-plots/change/Ethiopia/Ethiopia_Gambela_change.png","image/png",179444,3900,2280,"8721bdd2519660ae2d22f4198bc2847cc510e427ea82efd6847b8425e6300047"
"change","Ethiopia","Harari","assets/profile-plots/change/Ethiopia/Ethiopia_Harari_change.png","image/png",175660,3900,2280,"3c875d9d188e999189d061de923d5e6b7b7a4f61cc748d76ff3c3e088ca700d0"
"change","Ethiopia","Oromia","assets/profile-plots/change/Ethiopia/Ethiopia_Oromia_change.png","image/png",176836,3900,2280,"c69ef939289f23e9123d3ae59d03cfd2960c32c4b40a212b0d396786ef5cc8e1"
"change","Ethiopia","SNNPR","assets/profile-plots/change/Ethiopia/Ethiopia_SNNPR_change.png","image/png",176810,3900,2280,"696471795acd540e775a2264bec43b3740a377cebeb92707eb40ccde9ad1e846"
"change","Ethiopia","Somali","assets/profile-plots/change/Ethiopia/Ethiopia_Somali_change.png","image/png",176646,3900,2280,"a15cf2353adb7bfaab6d24f84a01ee8af9cd2335dcafaf513bf03b720f4cb5c3"
"change","Ethiopia","Tigray","assets/profile-plots/change/Ethiopia/Ethiopia_Tigray_change.png","image/png",173262,3900,2280,"bf624b462b33cabe91ed3a71c303644662cf21b61032a150f04bcde29e8544f3"
"change","Nigeria","Abia","assets/profile-plots/change/Nigeria/Nigeria_Abia_change.png","image/png",190323,3900,2280,"a1250dc5e6a1eb1290b44d2cd9d1d94935553ec74e1e8caf4609c3024929ca57"
"change","Nigeria","Adamawa","assets/profile-plots/change/Nigeria/Nigeria_Adamawa_change.png","image/png",181199,3900,2280,"05de3019d4c50b8b2ea63d42e40cfda07adc5bf704adb43d3f5e78bc05865fd1"
"change","Nigeria","Akwa Ibom","assets/profile-plots/change/Nigeria/Nigeria_AkwaIbom_change.png","image/png",187941,3900,2280,"c33f299b54331f364fa5258fd587c560ea59e8649d9909e4a95a3b8bd19cda76"
"change","Nigeria","Anambra","assets/profile-plots/change/Nigeria/Nigeria_Anambra_change.png","image/png",191186,3900,2280,"df677d467b00ef3656760a68c31c9a013e6e4387510dd4275e95235d1a461a12"
"change","Nigeria","Bauchi","assets/profile-plots/change/Nigeria/Nigeria_Bauchi_change.png","image/png",213472,3900,2280,"a07b6abb72ee4d5bf53cd67a6cc199370021cd859229382163636525bb708dc4"
"change","Nigeria","Bayelsa","assets/profile-plots/change/Nigeria/Nigeria_Bayelsa_change.png","image/png",194269,3900,2280,"a4e148e606acf2ee6234e6a4720d73966c0be5189719c1020518af38678b94bd"
"change","Nigeria","Benue","assets/profile-plots/change/Nigeria/Nigeria_Benue_change.png","image/png",207192,3900,2280,"fd8ad0645562720ed4ad7298a5a6ece75d375053a6a75587a84f868010c0db7b"
"change","Nigeria","Borno","assets/profile-plots/change/Nigeria/Nigeria_Borno_change.png","image/png",222425,3900,2280,"f61b165db2ed9256c7d0d32a3ce1ef7a049e5f1ccc4a71fcbfc49c274a69acc3"
"change","Nigeria","Cross River","assets/profile-plots/change/Nigeria/Nigeria_CrossRiver_change.png","image/png",192661,3900,2280,"963413bfb7cc2819326d1d9b8122748c3df8af5664439c9124a401a29b8b55ba"
"change","Nigeria","Delta","assets/profile-plots/change/Nigeria/Nigeria_Delta_change.png","image/png",213996,3900,2280,"e62dfb919cc18ad2a5e49133b7e82ba4baf11c5024c9371410b5cd0eadd7e17a"
"change","Nigeria","Ebonyi","assets/profile-plots/change/Nigeria/Nigeria_Ebonyi_change.png","image/png",200475,3900,2280,"798ad63e2626f52ca6a65389e8137b23a73da5408cb6883e3958004e3fd340ef"
"change","Nigeria","Edo","assets/profile-plots/change/Nigeria/Nigeria_Edo_change.png","image/png",196563,3900,2280,"e37e5da81fdada1ee6b4d476b662583fb6742bbb08c59f3c57ce2caffee13d38"
"change","Nigeria","Ekiti","assets/profile-plots/change/Nigeria/Nigeria_Ekiti_change.png","image/png",174564,3900,2280,"6c2f85d31f52b5086da09560580a859ca28f110cae7e304b0eb4f5e21b6d437e"
"change","Nigeria","Enugu","assets/profile-plots/change/Nigeria/Nigeria_Enugu_change.png","image/png",190227,3900,2280,"846011879c6e1a5944e0d0e6e10f686621a184339e6a3d9b6aa88be307d97b33"
"change","Nigeria","FCT Abuja","assets/profile-plots/change/Nigeria/Nigeria_FCTAbuja_change.png","image/png",195984,3900,2280,"438e04cc988877962021c3e1362938ca1a920dcf15ec8e8461c3bdb71ace542b"
"change","Nigeria","Gombe","assets/profile-plots/change/Nigeria/Nigeria_Gombe_change.png","image/png",196365,3900,2280,"620f9c71d25c406bd41f407e87a7c6eebcf90f39dbf480361837c34cbc8d1169"
"change","Nigeria","Imo","assets/profile-plots/change/Nigeria/Nigeria_Imo_change.png","image/png",184364,3900,2280,"ff4183f7c9d96a10395ac4787d1b7d41735270661a0f69ff1f09ec80c504d430"
"change","Nigeria","Jigawa","assets/profile-plots/change/Nigeria/Nigeria_Jigawa_change.png","image/png",197582,3900,2280,"599dd9a6fa1ea0bb0768c82f3457b38148ace7c6811a0c5af2621c6b94683650"
"change","Nigeria","Kaduna","assets/profile-plots/change/Nigeria/Nigeria_Kaduna_change.png","image/png",190433,3900,2280,"b94966fca23612cdd38ebb8a480093bbb547ae498c111fd22f98e142a3729ea6"
"change","Nigeria","Kano","assets/profile-plots/change/Nigeria/Nigeria_Kano_change.png","image/png",215177,3900,2280,"97b28d7fe4bae121fe88f95852e83bdaf3dd4f6c74849dd1bdc3db51c2237841"
"change","Nigeria","Katsina","assets/profile-plots/change/Nigeria/Nigeria_Katsina_change.png","image/png",208856,3900,2280,"4eb0f51c227c394bb68270d907bbf2a4de839a0c4a02efd82041c761354a8a5a"
"change","Nigeria","Kebbi","assets/profile-plots/change/Nigeria/Nigeria_Kebbi_change.png","image/png",192529,3900,2280,"b0579bd1ecaa4b1e703458d5ec2756659aeeec3c1247307c34ff95ca04cae99d"
"change","Nigeria","Kogi","assets/profile-plots/change/Nigeria/Nigeria_Kogi_change.png","image/png",201417,3900,2280,"79c5d8e6d887af500ac8903d7aac4d146040268a07f488c5067d7f285d939d41"
"change","Nigeria","Kwara","assets/profile-plots/change/Nigeria/Nigeria_Kwara_change.png","image/png",194623,3900,2280,"1a915b40bfa02748125f285509429f1caeafd52b3d2214caf0d032a08ecd716b"
"change","Nigeria","Lagos","assets/profile-plots/change/Nigeria/Nigeria_Lagos_change.png","image/png",191796,3900,2280,"8306e662b35019fb72420cd3ec6d10286cc78677284ff10cf4d760036b385700"
"change","Nigeria","Nasarawa","assets/profile-plots/change/Nigeria/Nigeria_Nasarawa_change.png","image/png",198724,3900,2280,"5b9fb94546649a34e947fda2c1d2591af29e9f0a0f7c96c75bbe7a757d35f23b"
"change","Nigeria","Niger","assets/profile-plots/change/Nigeria/Nigeria_Niger_change.png","image/png",183371,3900,2280,"f54f1afc4968f597c19d22ed312e650302f3a3038b9e1997185b7faa41e4e9e9"
"change","Nigeria","Ogun","assets/profile-plots/change/Nigeria/Nigeria_Ogun_change.png","image/png",205546,3900,2280,"1a91edc0e7126020266a02d5359fbdb6e8d36720dbbb85b03512e52c596da762"
"change","Nigeria","Ondo","assets/profile-plots/change/Nigeria/Nigeria_Ondo_change.png","image/png",199624,3900,2280,"0fb49ffac473e69f34bcfb6c81ec131c73421d3248a434f93630bfd9a820cebf"
"change","Nigeria","Osun","assets/profile-plots/change/Nigeria/Nigeria_Osun_change.png","image/png",182030,3900,2280,"83004901dd244502bee6e085aa7705424da71631f4301eeac6af010a37617fbb"
"change","Nigeria","Oyo","assets/profile-plots/change/Nigeria/Nigeria_Oyo_change.png","image/png",189912,3900,2280,"632814bd3fce97ee9275a5c52ef953f5ef645dc0dc90a2d056f61bc4b267bcdd"
"change","Nigeria","Plateau","assets/profile-plots/change/Nigeria/Nigeria_Plateau_change.png","image/png",184758,3900,2280,"5a4f007fd671d322e24116c21aaa884ce69cb7a5ae0c825975ab6a5a542edfea"
"change","Nigeria","Rivers","assets/profile-plots/change/Nigeria/Nigeria_Rivers_change.png","image/png",203464,3900,2280,"a9b4f22d672af49ff59946c4b9bb78c7655d267a673c00c3fb410b63e74e02b1"
"change","Nigeria","Sokoto","assets/profile-plots/change/Nigeria/Nigeria_Sokoto_change.png","image/png",202505,3900,2280,"2ea844c92b0dc5859c6c73432b57c0a72bdc2f77319570a9e10d78a5cb4bc715"
"change","Nigeria","Taraba","assets/profile-plots/change/Nigeria/Nigeria_Taraba_change.png","image/png",193435,3900,2280,"8456ea4c0ff6ac90e790f55a823b6f791e65d4b1e906cc644c83c2990ab90ae3"
"change","Nigeria","Yobe","assets/profile-plots/change/Nigeria/Nigeria_Yobe_change.png","image/png",211401,3900,2280,"a7c522ac7796a93b05656455abf659c2a700445f95f74305fdf40035496ab738"
"change","Nigeria","Zamfara","assets/profile-plots/change/Nigeria/Nigeria_Zamfara_change.png","image/png",185301,3900,2280,"ad307b85ed6aa09935364466a5779d8cc2550e56307512549fc3f01ae5a19951"
"profiles","DRC","Bas-Uele","assets/profile-plots/profiles/DRC/DRC_BasUele.png","image/png",336428,3450,2400,"0a5debe94662a79d1a22c7c177b911659cd120c411621712cdabd71e93f6c4b2"
"profiles","DRC","Equateur","assets/profile-plots/profiles/DRC/DRC_Equateur.png","image/png",339114,3450,2400,"989f4d99b0cbded1de93f1c4b0aefdef0fff9f621f05e8e5ee7faa4cb6a6ce26"
"profiles","DRC","Haut-Katanga","assets/profile-plots/profiles/DRC/DRC_HautKatanga.png","image/png",342940,3450,2400,"b3152022af008d28a200322cff0ae6695fba28c336ce98809db32c684877aa92"
"profiles","DRC","Haut-Lomami","assets/profile-plots/profiles/DRC/DRC_HautLomami.png","image/png",342620,3450,2400,"25a5b8e5f9ea612eeb366d5d947ecbac5b15fb3b9442c421cdb1bc0cc5969942"
"profiles","DRC","Haut-Uele","assets/profile-plots/profiles/DRC/DRC_HautUele.png","image/png",331864,3450,2400,"f0b1f587d5d8dff6a4aaf1bc317a7a1bf9f8da661cd4ac12cbbaaed8feb47ce4"
"profiles","DRC","Ituri","assets/profile-plots/profiles/DRC/DRC_Ituri.png","image/png",339759,3450,2400,"4540f6023e66828423e5cb5930d355204a0c7c842b3beb39a103ecb731f58a56"
"profiles","DRC","Kasai","assets/profile-plots/profiles/DRC/DRC_Kasai.png","image/png",336704,3450,2400,"097e3fd02ffb644bffa157cf7a736816ef3f09847c6af6ede5040562436e6840"
"profiles","DRC","Kasai-Central","assets/profile-plots/profiles/DRC/DRC_KasaiCentral.png","image/png",340074,3450,2400,"e71273854f86309bf4e74c44d2c64f9d75478f40d8bda3129c576c8893ebe799"
"profiles","DRC","Kasai-Oriental","assets/profile-plots/profiles/DRC/DRC_KasaiOriental.png","image/png",339929,3450,2400,"06c737e25914f2251b2bbefc76f7269733b821cde116f56b83d0c41f6756b469"
"profiles","DRC","Kinshasa","assets/profile-plots/profiles/DRC/DRC_Kinshasa.png","image/png",331944,3450,2400,"049e15da78f15a8e709693b1b161a2a90c540daa8023bd16756af0151632f95a"
"profiles","DRC","Kongo Central","assets/profile-plots/profiles/DRC/DRC_KongoCentral.png","image/png",338011,3450,2400,"9cc3d0f03377ed355b05453fb10bec1a7a438388ae340c6d6703aec76392ae90"
"profiles","DRC","Kwango","assets/profile-plots/profiles/DRC/DRC_Kwango.png","image/png",341137,3450,2400,"291a9a63561e5fe7697e28edb33c5b46658118a260feefc659c5d6a6eb37031a"
"profiles","DRC","Kwilu","assets/profile-plots/profiles/DRC/DRC_Kwilu.png","image/png",340249,3450,2400,"13bf4c68e7b0e83286bf07c429b35dff556f465c930c6c457184831176b92152"
"profiles","DRC","Lomami","assets/profile-plots/profiles/DRC/DRC_Lomami.png","image/png",341854,3450,2400,"a95c53ff84ebad607bed8439f58c53784df2548bba83b56fbd63a74df23bed00"
"profiles","DRC","Lualaba","assets/profile-plots/profiles/DRC/DRC_Lualaba.png","image/png",340913,3450,2400,"c7fa20823c61ae67ad34cf6429bf9dfd5f0e0756b3afb979953c7e3b9e622e4f"
"profiles","DRC","Mai-Ndombe","assets/profile-plots/profiles/DRC/DRC_MaiNdombe.png","image/png",333403,3450,2400,"961972dd3f23c75836e910c7fa743f2161296d9ad8cac92cd1be6163e32bb6bb"
"profiles","DRC","Maniema","assets/profile-plots/profiles/DRC/DRC_Maniema.png","image/png",339689,3450,2400,"3fc31dc235fa3c6dc8a1e97dddd83790c3aec746fc8917f818f049055b092a8a"
"profiles","DRC","Mongala","assets/profile-plots/profiles/DRC/DRC_Mongala.png","image/png",333813,3450,2400,"6287ad26678558c6cd202dca4db2f8970a505bf7e4ee28844228ea7bb967775a"
"profiles","DRC","Nord-Kivu","assets/profile-plots/profiles/DRC/DRC_NordKivu.png","image/png",336962,3450,2400,"ea2bcd756c399534a4804a372885746ee74eb6135c75f41b0e0a72099becd741"
"profiles","DRC","Nord-Ubangi","assets/profile-plots/profiles/DRC/DRC_NordUbangi.png","image/png",343579,3450,2400,"0822918be9d5c0a3e4e77bfa21135920fd46e8461e4cfeebc1a08f5d810040c7"
"profiles","DRC","Sankuru","assets/profile-plots/profiles/DRC/DRC_Sankuru.png","image/png",338726,3450,2400,"65d52510c94ee578f3cc7f9864acfaf27fea82fb612d868c61c0681420f8fd82"
"profiles","DRC","Sud-Kivu","assets/profile-plots/profiles/DRC/DRC_SudKivu.png","image/png",339713,3450,2400,"1b3fea6811376be0278bdeca1f0c65fdd789690f4a54916ac6492a72f380043a"
"profiles","DRC","Sud-Ubangi","assets/profile-plots/profiles/DRC/DRC_SudUbangi.png","image/png",341617,3450,2400,"c27ad1051c73c82c6e9ba2519635afd5ebc1166ac6a262a1bc2d915fd29ab0b0"
"profiles","DRC","Tanganyika","assets/profile-plots/profiles/DRC/DRC_Tanganyika.png","image/png",335718,3450,2400,"4f38e0ac9ed8757332c146c862cb6c7492270afd73e789ec763f8297cc99e6db"
"profiles","DRC","Tshopo","assets/profile-plots/profiles/DRC/DRC_Tshopo.png","image/png",342026,3450,2400,"032fdcc53cc3f4b01a7e77ca1e63b51efdf9bc7b9101c0a8fd79bfbfee708630"
"profiles","DRC","Tshuapa","assets/profile-plots/profiles/DRC/DRC_Tshuapa.png","image/png",337096,3450,2400,"7512abbfb58356c51d1b14dbf73358ef3810f19988f9976eabfd7c4d1afce7cd"
"profiles","Ethiopia","Addis Ababa","assets/profile-plots/profiles/Ethiopia/Ethiopia_AddisAbaba.png","image/png",275591,3450,2400,"d11fb386e98e29d8fd794c53d58364063176dc9ab5ca1350b3fc1e9c7190ab99"
"profiles","Ethiopia","Afar","assets/profile-plots/profiles/Ethiopia/Ethiopia_Afar.png","image/png",284246,3450,2400,"0561ffbd99471f012b2bd3d7ce76ef356918237c0c7e90c8683b7c3da3096ec0"
"profiles","Ethiopia","Amhara","assets/profile-plots/profiles/Ethiopia/Ethiopia_Amhara.png","image/png",287310,3450,2400,"8297c2fb489d857c513cb792e56769778586aa900bce437925f5baa214afa1d1"
"profiles","Ethiopia","Benishangul","assets/profile-plots/profiles/Ethiopia/Ethiopia_Benishangul.png","image/png",285177,3450,2400,"7480c41e337fef756572ebc094ce658302268eff823b5ec4acb310d0aed49bc9"
"profiles","Ethiopia","Dire Dawa","assets/profile-plots/profiles/Ethiopia/Ethiopia_DireDawa.png","image/png",290199,3450,2400,"d0fefe6c0c186f324fe5ff5a5d541247b3326f4c77d84efb640bc52759422176"
"profiles","Ethiopia","Gambela","assets/profile-plots/profiles/Ethiopia/Ethiopia_Gambela.png","image/png",284273,3450,2400,"70f50cfb2d6af84671eb2004ade52709402a9302eaa756769812550dc34c6696"
"profiles","Ethiopia","Harari","assets/profile-plots/profiles/Ethiopia/Ethiopia_Harari.png","image/png",285971,3450,2400,"0b5cc9d5a421be4541a93dbeb8653e7c401aedec14d99bd5588d49ace2406c6f"
"profiles","Ethiopia","Oromia","assets/profile-plots/profiles/Ethiopia/Ethiopia_Oromia.png","image/png",287480,3450,2400,"5d2a7a321d64a63bd99744c6c01e123bff129d992a6243cff6f3892ad7d87a3d"
"profiles","Ethiopia","SNNPR","assets/profile-plots/profiles/Ethiopia/Ethiopia_SNNPR.png","image/png",285829,3450,2400,"c9f83d53f88e3c057827defb10f3d7dca23633edcf53436e137d595f931a8e08"
"profiles","Ethiopia","Somali","assets/profile-plots/profiles/Ethiopia/Ethiopia_Somali.png","image/png",281061,3450,2400,"6e0aac0382d472da98a0088e6b2664a9ed0eeda525a8f5106c1a198a24dc9499"
"profiles","Ethiopia","Tigray","assets/profile-plots/profiles/Ethiopia/Ethiopia_Tigray.png","image/png",283471,3450,2400,"cf2def209d360a3835f9358229500c97f8779028a63f59ca7a5f804dbc2953dd"
"profiles","Nigeria","Abia","assets/profile-plots/profiles/Nigeria/Nigeria_Abia.png","image/png",346287,3450,2400,"2e6f7b75820b96963686abe66987f52b67ddd724110fff8111e77a211414520a"
"profiles","Nigeria","Adamawa","assets/profile-plots/profiles/Nigeria/Nigeria_Adamawa.png","image/png",343995,3450,2400,"79597d7b17bd14292edb4afe5a69bcf387655467f37abacec77c79d495bd5ff2"
"profiles","Nigeria","Akwa Ibom","assets/profile-plots/profiles/Nigeria/Nigeria_AkwaIbom.png","image/png",342601,3450,2400,"ad4652a45e0fdecaeded6e11068a0fe40755a8a6f11f26f388c3b2ae70c74785"
"profiles","Nigeria","Anambra","assets/profile-plots/profiles/Nigeria/Nigeria_Anambra.png","image/png",346891,3450,2400,"5e9a08d6167d473b3ce3d2d318fa367a14f60f7f9dcdc2327c24d48c2216f3a0"
"profiles","Nigeria","Bauchi","assets/profile-plots/profiles/Nigeria/Nigeria_Bauchi.png","image/png",342063,3450,2400,"b49a76c7dce5584f4a93781f5e3508091c28e57890a4770be7c5d773d0fd1122"
"profiles","Nigeria","Bayelsa","assets/profile-plots/profiles/Nigeria/Nigeria_Bayelsa.png","image/png",345591,3450,2400,"5580fe3c5efee4662387f34c710759c214f94abfc89619ea5ee4bc87a3f21d39"
"profiles","Nigeria","Benue","assets/profile-plots/profiles/Nigeria/Nigeria_Benue.png","image/png",346546,3450,2400,"37ea1f940059e18f43174eef9a4802de27df1d0aad919c9ca490ad5d73293722"
"profiles","Nigeria","Borno","assets/profile-plots/profiles/Nigeria/Nigeria_Borno.png","image/png",344842,3450,2400,"2fb2c62981cdc355096fae715fa064ae27d6d691b07761e43736b17f1aad5a9a"
"profiles","Nigeria","Cross River","assets/profile-plots/profiles/Nigeria/Nigeria_CrossRiver.png","image/png",347364,3450,2400,"c442dc288581bc4f392d341bcf5cc423740a2d6e1d367fc68840771e88129a06"
"profiles","Nigeria","Delta","assets/profile-plots/profiles/Nigeria/Nigeria_Delta.png","image/png",339774,3450,2400,"1373d7e03c5c0c0faec4dae529b2212a06ec2db06b53440dbabdec593d3d616e"
"profiles","Nigeria","Ebonyi","assets/profile-plots/profiles/Nigeria/Nigeria_Ebonyi.png","image/png",345141,3450,2400,"44d4a1faa50cd75772e85566c1faf932296fd495380e6fc625ed70e7590d8769"
