country,survey_year,survey_source,survey_label,indicator,admin_name,estimate,ci_l,ci_u
DRC,2013,DHS,2013 DHS,anemia_women,Lualaba,31.3097673,20.38898084,42.23055376
DRC,2013,DHS,2013 DHS,anemia_women,Mai-Ndombe,51.90657796,36.98617559,66.82698033
DRC,2013,DHS,2013 DHS,anemia_women,Maniema,49.51299106,43.87739783,55.14858429
DRC,2013,DHS,2013 DHS,anemia_women,Mongala,35.4805968,22.55675516,48.40443844
DRC,2013,DHS,2013 DHS,anemia_women,Nord-Kivu,20.68430468,16.80619444,24.56241492
DRC,2013,DHS,2013 DHS,anemia_women,Nord-Ubangi,27.01382202,20.64791953,33.37972452
DRC,2013,DHS,2013 DHS,anemia_women,Sankuru,37.99070554,25.41923925,50.56217183
DRC,2013,DHS,2013 DHS,anemia_women,Sud-Kivu,22.70339914,12.79426296,32.61253532
DRC,2013,DHS,2013 DHS,anemia_women,Sud-Ubangi,27.24583728,21.5979597,32.89371486
DRC,2013,DHS,2013 DHS,anemia_women,Tanganyika,55.32394348,45.37962342,65.26826355
DRC,2013,DHS,2013 DHS,anemia_women,Tshopo,39.64164994,30.83919392,48.44410595
DRC,2013,DHS,2013 DHS,anemia_women,Tshuapa,44.83669291,40.29453052,49.3788553
DRC,2024,DHS,2024 DHS,anemia_women,Bas-Uele,52.19790521,46.17210113,58.2237093
DRC,2024,DHS,2024 DHS,anemia_women,Equateur,46.13368683,39.42085563,52.84651803
DRC,2024,DHS,2024 DHS,anemia_women,Haut-Katanga,47.73422063,44.0115745,51.45686676
DRC,2024,DHS,2024 DHS,anemia_women,Haut-Lomami,50.62036479,44.31846908,56.9222605
DRC,2024,DHS,2024 DHS,anemia_women,Haut-Uele,20.01550384,9.409439994,30.62156769
DRC,2024,DHS,2024 DHS,anemia_women,Ituri,26.65892704,21.06760468,32.2502494
DRC,2024,DHS,2024 DHS,anemia_women,Kasai,39.43153683,32.47377661,46.38929705
DRC,2024,DHS,2024 DHS,anemia_women,Kasai-Central,37.70505018,29.4858056,45.92429475
DRC,2024,DHS,2024 DHS,anemia_women,Kasai-Oriental,38.29265923,33.79908582,42.78623264
DRC,2024,DHS,2024 DHS,anemia_women,Kinshasa,51.37402788,46.64271231,56.10534346
DRC,2024,DHS,2024 DHS,anemia_women,Kongo Central,53.86678421,48.93746996,58.79609846
DRC,2024,DHS,2024 DHS,anemia_women,Kwango,40.80110987,33.06032016,48.54189958
DRC,2024,DHS,2024 DHS,anemia_women,Kwilu,33.72567736,26.21528438,41.23607035
DRC,2024,DHS,2024 DHS,anemia_women,Lomami,34.56479806,29.20358662,39.92600951
DRC,2024,DHS,2024 DHS,anemia_women,Lualaba,41.82974505,35.26068339,48.3988067
DRC,2024,DHS,2024 DHS,anemia_women,Mai-Ndombe,47.23483535,39.75345442,54.71621629
DRC,2024,DHS,2024 DHS,anemia_women,Maniema,50.37001028,43.31371951,57.42630105
DRC,2024,DHS,2024 DHS,anemia_women,Mongala,44.25433334,37.402107,51.10655967
DRC,2024,DHS,2024 DHS,anemia_women,Nord-Kivu,20.05860565,15.80036832,24.31684298
DRC,2024,DHS,2024 DHS,anemia_women,Nord-Ubangi,30.64932186,25.50896234,35.78968137
DRC,2024,DHS,2024 DHS,anemia_women,Sankuru,43.22528283,34.83504581,51.61551986
DRC,2024,DHS,2024 DHS,anemia_women,Sud-Kivu,33.47917132,26.06604218,40.89230046
DRC,2024,DHS,2024 DHS,anemia_women,Sud-Ubangi,43.47286191,37.16723157,49.77849225
DRC,2024,DHS,2024 DHS,anemia_women,Tanganyika,46.04104555,37.18495972,54.89713137
DRC,2024,DHS,2024 DHS,anemia_women,Tshopo,46.39290663,42.25244964,50.53336361
DRC,2024,DHS,2024 DHS,anemia_women,Tshuapa,52.73581191,47.74866704,57.72295678
DRC,2013,DHS,2013 DHS,facility_delivery,Bas-Uele,71.859999,55.576394,88.143603
DRC,2013,DHS,2013 DHS,facility_delivery,Equateur,78.496328,72.659726,84.33293
DRC,2013,DHS,2013 DHS,facility_delivery,Haut-Katanga,86.671791,70.082248,100.0
DRC,2013,DHS,2013 DHS,facility_delivery,Haut-Lomami,44.010904,27.75007,60.271738
DRC,2013,DHS,2013 DHS,facility_delivery,Haut-Uele,88.309932,82.767131,93.852734
DRC,2013,DHS,2013 DHS,facility_delivery,Ituri,91.666267,86.821266,96.511267
DRC,2013,DHS,2013 DHS,facility_delivery,Kasai,81.54915,70.45288,92.645421
DRC,2013,DHS,2013 DHS,facility_delivery,Kasai Central,87.788768,81.03878,94.538755
DRC,2013,DHS,2013 DHS,facility_delivery,Kasai Oriental,90.806308,86.441234,95.171382
DRC,2013,DHS,2013 DHS,facility_delivery,Kinshasa,98.272061,96.894396,99.649726
DRC,2013,DHS,2013 DHS,facility_delivery,Kongo Central,95.517036,91.769895,99.264176
DRC,2013,DHS,2013 DHS,facility_delivery,Kwango,67.208581,46.058242,88.358921
DRC,2013,DHS,2013 DHS,facility_delivery,Kwilu,93.977184,90.649704,97.304664
DRC,2013,DHS,2013 DHS,facility_delivery,Lomami,68.488712,49.68717,87.290255
DRC,2013,DHS,2013 DHS,facility_delivery,Lualaba,71.100491,58.18636,84.014621
DRC,2013,DHS,2013 DHS,facility_delivery,Mai-Ndombe,88.293505,81.632694,94.954316
DRC,2013,DHS,2013 DHS,facility_delivery,Maniema,88.425339,83.219404,93.631273
DRC,2013,DHS,2013 DHS,facility_delivery,Mongala,49.108228,40.61599,57.600465
DRC,2013,DHS,2013 DHS,facility_delivery,Nord Ubangi,48.095354,31.935691,64.255017
DRC,2013,DHS,2013 DHS,facility_delivery,Nord-Kivu,92.066121,87.154511,96.977731
DRC,2013,DHS,2013 DHS,facility_delivery,Sankuru,46.048268,27.950705,64.145831
DRC,2013,DHS,2013 DHS,facility_delivery,Sud Ubangi,71.063324,57.122706,85.003943
DRC,2013,DHS,2013 DHS,facility_delivery,Sud-Kivu,92.638077,88.017024,97.25913
DRC,2013,DHS,2013 DHS,facility_delivery,Tanganyika,16.00799,8.896494,23.119486
DRC,2013,DHS,2013 DHS,facility_delivery,Tshopo,77.03063,66.40446,87.6568
DRC,2013,DHS,2013 DHS,facility_delivery,Tshuapa,41.082896,27.282526,54.883266
DRC,2024,DHS,2023–24 DHS,facility_delivery,Bas-Uele,59.058099,40.181544,77.934654
DRC,2024,DHS,2023–24 DHS,facility_delivery,Equateur,63.416808,51.734441,75.099175
DRC,2024,DHS,2023–24 DHS,facility_delivery,Haut-Katanga,91.594271,86.76886,96.419682
DRC,2024,DHS,2023–24 DHS,facility_delivery,Haut-Lomami,64.487289,52.272019,76.702558
DRC,2024,DHS,2023–24 DHS,facility_delivery,Haut-Uele,73.0025,58.08622,87.91878
DRC,2024,DHS,2023–24 DHS,facility_delivery,Ituri,95.972076,93.265706,98.678447
DRC,2024,DHS,2023–24 DHS,facility_delivery,Kasai,84.275093,76.366491,92.183695
DRC,2024,DHS,2023–24 DHS,facility_delivery,Kasai Central,91.305537,86.159014,96.45206
DRC,2024,DHS,2023–24 DHS,facility_delivery,Kasai Oriental,87.456933,73.849846,100.0
DRC,2024,DHS,2023–24 DHS,facility_delivery,Kinshasa,97.397626,94.822471,99.972781
DRC,2024,DHS,2023–24 DHS,facility_delivery,Kongo Central,94.630055,91.347378,97.912731
DRC,2024,DHS,2023–24 DHS,facility_delivery,Kwango,76.791197,66.298214,87.28418
DRC,2024,DHS,2023–24 DHS,facility_delivery,Kwilu,92.432617,88.226881,96.638352
DRC,2024,DHS,2023–24 DHS,facility_delivery,Lomami,75.645139,64.265712,87.024566
DRC,2024,DHS,2023–24 DHS,facility_delivery,Lualaba,90.362809,82.3517,98.373918
DRC,2024,DHS,2023–24 DHS,facility_delivery,Mai-Ndombe,92.18783,83.854157,100.0
DRC,2024,DHS,2023–24 DHS,facility_delivery,Maniema,71.421659,63.492452,79.350866
DRC,2024,DHS,2023–24 DHS,facility_delivery,Mongala,63.268784,51.056347,75.481221
DRC,2024,DHS,2023–24 DHS,facility_delivery,Nord Ubangi,69.338891,56.704365,81.973418
DRC,2024,DHS,2023–24 DHS,facility_delivery,Nord-Kivu,98.882948,97.680427,100.0
DRC,2024,DHS,2023–24 DHS,facility_delivery,Sankuru,42.439303,27.687616,57.19099
DRC,2024,DHS,2023–24 DHS,facility_delivery,Sud Ubangi,71.124878,62.677225,79.572532
DRC,2024,DHS,2023–24 DHS,facility_delivery,Sud-Kivu,97.41304,94.899155,99.926924
DRC,2024,DHS,2023–24 DHS,facility_delivery,Tanganyika,38.976167,22.489,55.463333
DRC,2024,DHS,2023–24 DHS,facility_delivery,Tshopo,72.553502,59.70462,85.402384
DRC,2024,DHS,2023–24 DHS,facility_delivery,Tshuapa,38.116438,21.944901,54.287975
DRC,2013,DHS,2013 DHS,fever_care_seeking,Bas-Uele,40.13873,28.329698,51.947762
DRC,2013,DHS,2013 DHS,fever_care_seeking,Equateur,62.580605,47.446119,77.715091
DRC,2013,DHS,2013 DHS,fever_care_seeking,Haut-Katanga,47.353038,34.426032,60.280043
DRC,2013,DHS,2013 DHS,fever_care_seeking,Haut-Lomami,54.186097,44.667049,63.705146
DRC,2013,DHS,2013 DHS,fever_care_seeking,Haut-Uele,44.701156,18.218955,71.183357
DRC,2013,DHS,2013 DHS,fever_care_seeking,Ituri,57.363301,42.408687,72.317914
DRC,2013,DHS,2013 DHS,fever_care_seeking,Kasai,67.585177,58.692688,76.477665
DRC,2013,DHS,2013 DHS,fever_care_seeking,Kasai Central,48.655454,38.000929,59.309979
DRC,2013,DHS,2013 DHS,fever_care_seeking,Kasai Oriental,37.413524,28.365251,46.461797
DRC,2013,DHS,2013 DHS,fever_care_seeking,Kinshasa,73.936398,65.477469,82.395327
DRC,2013,DHS,2013 DHS,fever_care_seeking,Kongo Central,55.3837,41.322944,69.444456
DRC,2013,DHS,2013 DHS,fever_care_seeking,Kwango,61.100418,50.389121,71.811715
DRC,2013,DHS,2013 DHS,fever_care_seeking,Kwilu,51.991164,38.741684,65.240644
DRC,2013,DHS,2013 DHS,fever_care_seeking,Lomami,58.64372,46.286679,71.00076
DRC,2013,DHS,2013 DHS,fever_care_seeking,Lualaba,52.614017,41.424544,63.80349
DRC,2013,DHS,2013 DHS,fever_care_seeking,Mai-Ndombe,47.394117,41.057492,53.730741
DRC,2013,DHS,2013 DHS,fever_care_seeking,Maniema,60.083635,50.204355,69.962915
DRC,2013,DHS,2013 DHS,fever_care_seeking,Mongala,58.16275,44.97401,71.35149
DRC,2013,DHS,2013 DHS,fever_care_seeking,Nord Ubangi,52.948557,42.995855,62.901259
DRC,2013,DHS,2013 DHS,fever_care_seeking,Nord-Kivu,67.901624,57.286341,78.516908
DRC,2013,DHS,2013 DHS,fever_care_seeking,Sankuru,46.791249,27.124894,66.457604
DRC,2013,DHS,2013 DHS,fever_care_seeking,Sud Ubangi,48.836668,30.823368,66.849967
DRC,2013,DHS,2013 DHS,fever_care_seeking,Sud-Kivu,62.776258,47.835089,77.717428
DRC,2013,DHS,2013 DHS,fever_care_seeking,Tanganyika,42.486564,29.11994,55.853188
DRC,2013,DHS,2013 DHS,fever_care_seeking,Tshopo,56.942955,44.752689,69.133221
DRC,2013,DHS,2013 DHS,fever_care_seeking,Tshuapa,46.984024,27.648806,66.319242
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Bas-Uele,40.879176,22.845651,58.9127
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Equateur,54.88529,46.268152,63.502428
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Haut-Katanga,45.171391,32.899112,57.44367
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Haut-Lomami,47.497681,42.733995,52.261368
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Haut-Uele,69.184773,49.619604,88.749942
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Ituri,38.558823,21.011627,56.106018
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Kasai,49.358891,39.442567,59.275215
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Kasai Central,58.423824,51.894657,64.952991
DRC,2024,DHS,2023–24 DHS,fever_care_seeking,Kasai Oriental,43.683373,34.47148,52.895266
