country,population,indicator,direction,admin_level,admin_name,n_surveys,years_available,latest_year,baseline_target_year,baseline_year,baseline_year_gap,baseline_estimate,observed_latest_estimate,pp_change_10yr,recoded_baseline_estimate,recoded_observed_latest,pp_change_10yr_recoded,change_rank,prevalence_rank
DRC,,anc_skilled_provider,beneficial,ADM1,Tshopo,2,2013;2024,2024,2014,2013,1,79.945867,79.979817,0.03395,20.054133,20.020183,-0.03395,7,18
DRC,,anc_skilled_provider,beneficial,ADM1,Sud-Kivu,2,2013;2024,2024,2014,2013,1,95.798278,95.007291,-0.790987,4.201722,4.992709,0.790987,8,2
DRC,,anc_skilled_provider,beneficial,ADM1,Kwango,2,2013;2024,2024,2014,2013,1,81.923405,80.948675,-0.97473,18.076595,19.051325,0.97473,9,15
DRC,,anc_skilled_provider,beneficial,ADM1,Haut-Katanga,2,2013;2024,2024,2014,2013,1,85.915643,84.712821,-1.202822,14.084357,15.287179,1.202822,10,9
DRC,,anc_skilled_provider,beneficial,ADM1,Kinshasa,2,2013;2024,2024,2014,2013,1,96.433763,94.996178,-1.437585,3.566237,5.003822,1.437585,11,3
DRC,,anc_skilled_provider,beneficial,ADM1,Haut-Lomami,2,2013;2024,2024,2014,2013,1,76.458249,74.698618,-1.759631,23.541751,25.301382,1.759631,12,20
DRC,,anc_skilled_provider,beneficial,ADM1,Lualaba,2,2013;2024,2024,2014,2013,1,90.775518,88.052364,-2.723154,9.224482,11.947636,2.723154,13,7
DRC,,anc_skilled_provider,beneficial,ADM1,Kasai-Oriental,2,2013;2024,2024,2014,2013,1,85.26257,80.516627,-4.745943,14.73743,19.483373,4.745943,14,17
DRC,,anc_skilled_provider,beneficial,ADM1,Tshuapa,2,2013;2024,2024,2014,2013,1,68.627686,62.29405,-6.333636,31.372314,37.70595,6.333636,15,23
DRC,,anc_skilled_provider,beneficial,ADM1,Kwilu,2,2013;2024,2024,2014,2013,1,94.734022,87.306645,-7.427377,5.265978,12.693355,7.427377,16,8
DRC,,anc_skilled_provider,beneficial,ADM1,Equateur,2,2013;2024,2024,2014,2013,1,89.113832,80.859216,-8.254616,10.886168,19.140784,8.254616,17,16
DRC,,anc_skilled_provider,beneficial,ADM1,Maniema,2,2013;2024,2024,2014,2013,1,91.712288,81.404895,-10.307393,8.287712,18.595105,10.307393,18,13
