country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Nord-Kivu,nord kivu,98.430124,0.734545,96.990442,99.869805,427,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Nord Ubangi,nord ubangi,86.882122,3.743517,79.544964,94.219281,343,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Nord Ubangi,nord ubangi,89.169379,3.258223,82.78338,95.555378,359,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Sankuru,sankuru,69.838993,5.837641,58.397426,81.28056,388,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Sankuru,sankuru,48.005846,4.451524,39.28102,56.730672,281,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Sud-Kivu,sud kivu,95.798278,1.233674,93.380322,98.216234,610,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Sud-Kivu,sud kivu,95.007291,1.465015,92.135915,97.878667,445,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Sud Ubangi,sud ubangi,89.266522,2.283693,84.790566,93.742479,355,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Sud Ubangi,sud ubangi,76.959589,3.45201,70.193774,83.725403,451,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Tanganyika,tanganyika,50.664282,4.694462,41.463306,59.865257,395,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Tanganyika,tanganyika,58.346524,8.569295,41.551015,75.142033,384,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Tshopo,tshopo,79.945867,6.596015,67.017915,92.873818,336,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Tshopo,tshopo,79.979817,7.163123,65.940354,94.01928,343,2,2023–24 DHS
DRC,2013,DHS,,,anc_skilled_provider,ADM1,Tshuapa,tshuapa,68.627686,6.643038,55.607572,81.647801,339,1,2013 DHS
DRC,2024,DHS,,,anc_skilled_provider,ADM1,Tshuapa,tshuapa,62.29405,4.871773,52.74555,71.842551,320,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Bas-Uele,bas uele,39.572666,9.96684,20.038018,59.107315,283,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Bas-Uele,bas uele,24.25363,5.929883,12.631273,35.875987,270,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Equateur,equateur,65.346516,6.175695,53.242376,77.450655,344,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Equateur,equateur,48.688968,6.481857,35.984762,61.393173,321,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Haut-Katanga,haut katanga,47.46886,4.4125,38.820519,56.117202,356,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Haut-Katanga,haut katanga,47.965755,5.195718,37.782334,58.149176,400,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Haut-Lomami,haut lomami,41.79437,7.03361,28.008749,55.579992,374,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Haut-Lomami,haut lomami,34.381983,3.229135,28.052995,40.71097,487,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Haut-Uele,haut uele,48.676925,3.357424,42.096495,55.257355,272,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Haut-Uele,haut uele,30.473965,3.870326,22.888267,38.059664,219,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Ituri,ituri,56.512938,5.296017,46.132936,66.892941,359,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Ituri,ituri,39.702706,2.839788,34.136825,45.268588,384,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Kasai,kasai,43.521968,2.848586,37.938841,49.105094,508,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Kasai,kasai,26.604883,6.801005,13.275159,39.934608,408,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Kasai Central,kasai central,43.300453,5.058457,33.386058,53.214847,464,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Kasai Central,kasai central,43.295979,3.506245,36.423865,50.168093,492,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Kasai Oriental,kasai oriental,56.834348,3.483871,50.006087,63.66261,411,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Kasai Oriental,kasai oriental,34.698145,4.545622,25.788889,43.607401,339,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Kinshasa,kinshasa,74.236269,2.174058,69.975194,78.497344,683,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Kinshasa,kinshasa,69.19981,3.091446,63.140688,75.258932,282,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Kongo Central,kongo central,39.058061,4.646844,29.950413,48.165709,585,1,2013 DHS
