country,admin_name,indicator,prev,ci_l,ci_u,n_units,prov_avg,prov_min,prov_max,pos_worse
DRC,Mongala,IMR,111.67021499086,78.3563520675864,156.739007749646,26,57.4362400560345,23.9158521830142,111.67021499086,1
DRC,Haut-Lomami,IMR,85.0531633025578,53.8808219375515,131.748689065174,26,57.4362400560345,23.9158521830142,111.67021499086,0.696686855939172
DRC,Lualaba,IMR,79.1979629660565,49.5260900066242,124.321520788718,26,57.4362400560345,23.9158521830142,111.67021499086,0.629964243533881
DRC,Maniema,IMR,76.6904509295753,55.9851503758294,104.208005173918,26,57.4362400560345,23.9158521830142,111.67021499086,0.601390028460701
DRC,Sud-Ubangi,IMR,75.0574123216309,46.4440666091559,119.097198841979,26,57.4362400560345,23.9158521830142,111.67021499086,0.582780827098027
DRC,Tshuapa,IMR,71.8463433124339,56.1991328763383,91.4280889155548,26,57.4362400560345,23.9158521830142,111.67021499086,0.546189267357251
DRC,Kasai-Central,IMR,70.5861517411878,51.7722424321769,95.5480682894971,26,57.4362400560345,23.9158521830142,111.67021499086,0.531828823831434
DRC,Kasai,IMR,70.4801840482027,45.5865812642601,107.437281182045,26,57.4362400560345,23.9158521830142,111.67021499086,0.530621274832222
DRC,Sankuru,IMR,67.3362377000523,46.3368289803169,96.8855443276241,26,57.4362400560345,23.9158521830142,111.67021499086,0.49479460767227
DRC,Ituri,IMR,64.7319905578544,44.9141479214864,92.4478086819219,26,57.4362400560345,23.9158521830142,111.67021499086,0.465118053038737
DRC,Haut-Katanga,IMR,63.146169888223,36.2709008826475,107.709332538137,26,57.4362400560345,23.9158521830142,111.67021499086,0.447046921087111
DRC,Kasai-Oriental,IMR,58.0332453024936,39.7137985363508,84.0634508423947,26,57.4362400560345,23.9158521830142,111.67021499086,0.388782871048652
DRC,Tanganyika,IMR,56.6567561800668,36.2094480068825,87.6010776630771,26,57.4362400560345,23.9158521830142,111.67021499086,0.373097165194451
DRC,Sud-Kivu,IMR,54.2769617205345,38.2351486216984,76.513780105097,26,57.4362400560345,23.9158521830142,111.67021499086,0.34597834872326
DRC,Lomami,IMR,52.5253444009026,32.1962246125135,84.5688925903601,26,57.4362400560345,23.9158521830142,111.67021499086,0.326017890193495
DRC,Mai-Ndombe,IMR,49.9590936387461,29.9280988762018,82.2600420344738,26,57.4362400560345,23.9158521830142,111.67021499086,0.296774321212477
DRC,Kwango,IMR,48.3582921376344,30.4358252222931,76.0072493597404,26,57.4362400560345,23.9158521830142,111.67021499086,0.278532476022206
DRC,Kinshasa,IMR,46.5735884166531,33.2800650690451,64.8210797972993,26,57.4362400560345,23.9158521830142,111.67021499086,0.258194983231228
DRC,Tshopo,IMR,43.0235698701332,27.7038402495956,66.2377129760931,26,57.4362400560345,23.9158521830142,111.67021499086,0.217740942737615
DRC,Kwilu,IMR,42.5164650078559,26.4183609249391,67.7414587217628,26,57.4362400560345,23.9158521830142,111.67021499086,0.211962257256327
DRC,Equateur,IMR,40.9057372226302,24.2814189908605,68.1173290279291,26,57.4362400560345,23.9158521830142,111.67021499086,0.193607297643064
DRC,Nord-Kivu,IMR,40.1356565506961,24.9942567160673,63.8489695691799,26,57.4362400560345,23.9158521830142,111.67021499086,0.184831885831114
DRC,Nord-Ubangi,IMR,37.6020690224185,16.6052951320831,82.9100757376344,26,57.4362400560345,23.9158521830142,111.67021499086,0.155960528929744
DRC,Kongo Central,IMR,37.597259480426,24.1996458409517,57.9715179689493,26,57.4362400560345,23.9158521830142,111.67021499086,0.15590572205931
DRC,Bas-Uele,IMR,25.4660685640564,17.5975473391268,36.7213882535181,26,57.4362400560345,23.9158521830142,111.67021499086,0.0176654052452837
DRC,Haut-Uele,IMR,23.9158521830142,9.58806918882718,58.3918347630243,26,57.4362400560345,23.9158521830142,111.67021499086,0
DRC,Mongala,NMR,60.9185517910612,45.668663887356,80.8294456919475,26,24.705752637167,6.82565947221538,60.9185517910612,1
DRC,Haut-Lomami,NMR,39.1808973637401,25.2968819397904,60.2143066311106,26,24.705752637167,6.82565947221538,60.9185517910612,0.598142131147463
DRC,Maniema,NMR,35.743099012886,25.6819827646722,49.5453044034798,26,24.705752637167,6.82565947221538,60.9185517910612,0.534588525424362
DRC,Lualaba,NMR,34.9580833164496,18.1348808648543,66.3333374582396,26,24.705752637167,6.82565947221538,60.9185517910612,0.520076162287831
DRC,Ituri,NMR,32.391165744581,19.5742899718539,53.1453761468193,26,24.705752637167,6.82565947221538,60.9185517910612,0.47262228319521
DRC,Sud-Kivu,NMR,28.6657048368872,14.7717805934948,54.8996674984064,26,24.705752637167,6.82565947221538,60.9185517910612,0.403750741149828
DRC,Sud-Ubangi,NMR,28.2187572596631,15.9131606891575,49.5609899031973,26,24.705752637167,6.82565947221538,60.9185517910612,0.395488147709831
DRC,Nord-Kivu,NMR,27.2519773462596,15.1755473992645,48.4656725171247,26,24.705752637167,6.82565947221538,60.9185517910612,0.377615560906654
DRC,Kwango,NMR,27.104164824955,13.8866871793631,52.235753265802,26,24.705752637167,6.82565947221538,60.9185517910612,0.374882992634406
DRC,Tshuapa,NMR,26.5426492666006,20.3208375517645,34.6021644999794,26,24.705752637167,6.82565947221538,60.9185517910612,0.36450241333307
DRC,Kasai-Central,NMR,25.5394462708577,14.157616173925,45.6478607808505,26,24.705752637167,6.82565947221538,60.9185517910612,0.345956483309037
DRC,Equateur,NMR,23.9518301786767,13.4130199626328,42.4151474571858,26,24.705752637167,6.82565947221538,60.9185517910612,0.316606673673734
DRC,Haut-Katanga,NMR,23.1720338894071,11.1502893728454,47.5320623453111,26,24.705752637167,6.82565947221538,60.9185517910612,0.302190800241175
DRC,Lomami,NMR,23.1553256880144,12.5123185407599,42.462021349828,26,24.705752637167,6.82565947221538,60.9185517910612,0.301881920447981
DRC,Kwilu,NMR,22.8024049938895,12.2450487583027,42.0743142204886,26,24.705752637167,6.82565947221538,60.9185517910612,0.29535757540012
DRC,Haut-Uele,NMR,21.9754667581777,8.05414974165073,58.5392561592952,26,24.705752637167,6.82565947221538,60.9185517910612,0.280070202137891
DRC,Kasai-Oriental,NMR,21.2085210556777,10.218638225284,43.4983114300208,26,24.705752637167,6.82565947221538,60.9185517910612,0.265891893868122
DRC,Tshopo,NMR,20.678075028905,9.5536012226593,44.1783984331672,26,24.705752637167,6.82565947221538,60.9185517910612,0.25608568820905
DRC,Kinshasa,NMR,20.033763688885,11.354156223855,35.1127867100119,26,24.705752637167,6.82565947221538,60.9185517910612,0.244174486711039
DRC,Tanganyika,NMR,18.655178850019,9.17341279648405,37.5658569647541,26,24.705752637167,6.82565947221538,60.9185517910612,0.218688978730802
DRC,Nord-Ubangi,NMR,18.6290781236806,5.49924960522247,61.1787964805378,26,24.705752637167,6.82565947221538,60.9185517910612,0.218206461985634
DRC,Kasai,NMR,18.0440109603289,7.06192625820883,45.3248844797673,26,24.705752637167,6.82565947221538,60.9185517910612,0.207390490824337
DRC,Sankuru,NMR,16.3926180337606,7.04991905089224,37.6470330099139,26,24.705752637167,6.82565947221538,60.9185517910612,0.176861656891142
DRC,Mai-Ndombe,NMR,11.7187650202311,4.44146695915813,30.5538980888304,26,24.705752637167,6.82565947221538,60.9185517910612,0.0904574582400529
DRC,Bas-Uele,NMR,8.5923397905311,2.20063119256753,32.935902374681,26,24.705752637167,6.82565947221538,60.9185517910612,0.0326601193351278
DRC,Kongo Central,NMR,6.82565947221538,1.94788706676227,23.6288527420895,26,24.705752637167,6.82565947221538,60.9185517910612,0
DRC,Mongala,U5MR,166.562071378986,115.768192284237,233.750599774741,26,95.1219838186368,47.2647388539391,166.562071378986,1
DRC,Kasai-Central,U5MR,143.650081126028,120.801052254494,169.985329133827,26,95.1219838186368,47.2647388539391,166.562071378986,0.807942141135906
DRC,Tshuapa,U5MR,141.43806094534,123.149222359912,161.94134970497,26,95.1219838186368,47.2647388539391,166.562071378986,0.789400065350404
DRC,Lualaba,U5MR,138.905611588329,81.4780893471735,226.814352173699,26,95.1219838186368,47.2647388539391,166.562071378986,0.768172018558333
DRC,Sankuru,U5MR,136.33964321094,96.2259769696332,189.666154695061,26,95.1219838186368,47.2647388539391,166.562071378986,0.74666300135671
